,preds,labels,genes
0,1,2,Snhg11
1,0,0,Rfx3
2,0,1,Auts2
3,1,0,Nrg3os
4,1,0,Cdh8
5,2,0,Robo1
6,2,0,Pcdh15
7,0,0,Fth1
8,0,0,Calm1
9,0,1,Dab1
10,1,0,5330438D12Rik
11,2,0,Kcnt2
12,2,0,Nebl
13,0,0,Pgbd5
14,0,0,Sphkap
15,2,1,Dlg2
16,1,1,Lrfn5
17,1,0,Ptpro
18,2,0,Ptprg
19,1,0,P2ry14
20,1,0,Nhsl1
21,2,0,Prkd1
22,0,0,Cblb
23,0,0,Ncald
24,0,0,D430041D05Rik
25,1,2,Clmp
26,0,0,Nedd4l
27,0,0,Rps8
28,0,0,Map1b
29,0,0,Kif26b
30,2,0,Robo2
31,0,1,Gria1
32,2,0,Dnah9
33,0,0,C1ql3
34,0,0,Kbtbd11
35,0,1,Tmem108
36,1,2,Rian
37,0,0,Arsb
38,0,1,Tnik
39,0,0,Arid1b
40,0,1,Ryr2
41,1,1,Rbm6
42,1,0,Erc1
43,2,2,Cntn3
44,0,1,Clstn2
45,0,1,Ppfia2
46,0,0,Wipf3
47,0,2,Cdk9
48,0,0,Ywhag
49,0,0,Eif1
50,1,0,Gm20319
51,0,0,Rps10
52,1,0,Gfra2
53,0,1,Srgap3
54,2,1,Atrnl1
55,0,1,Kansl1
56,2,2,Ntm
57,0,1,Gabrb1
58,1,0,Acvr2a
59,0,0,Kcnk1
60,1,1,Zfr
61,2,1,Med12l
62,1,1,Herc2
63,1,0,Ube3a
64,2,2,Cntnap2
65,0,0,Rpl14
66,2,0,Adk
67,0,0,Ywhaz
68,0,1,Trim9
69,0,0,Cacna1h
70,0,0,Nck2
71,1,1,Atp8a1
72,0,0,Syt13
73,0,1,Lgi1
74,0,0,Pcp4
75,2,2,Sgcz
76,0,1,Snap25
77,0,1,Sptbn4
78,0,0,Rps7
79,0,0,Gabbr2
80,0,0,Rps3
81,0,0,Atp5j
82,2,1,Cadps
83,1,1,Birc6
84,1,0,Capza2
85,0,1,Tsc22d1
86,2,0,Sema6d
87,0,0,Rps12
88,0,0,Rps16
89,2,1,Ccser1
90,0,0,Rps23
91,0,1,Prickle2
92,2,1,Wdr7
93,0,1,Nfia
94,1,1,Snap91
95,1,1,Unc79
96,1,1,Rock2
97,0,0,Nsg2
98,0,1,Ddx5
