,preds,labels,genes
0,2,2,Nrg1
1,2,2,Camk2d
2,1,2,Meg3
3,0,0,Zbtb20
4,0,0,Gm15738
5,2,2,Unc5d
6,0,0,Cacna1c
7,0,2,Kcnq1ot1
8,0,0,Ahcyl2
9,0,0,Atp1b1
10,0,0,Tspan18
11,0,1,Erc2
12,0,0,Cdh9
13,0,0,Rasal2
14,0,0,Il1rap
15,0,0,Atp6v0c
16,0,0,Tmsb4x
17,2,0,Tenm1
18,0,1,Gabrb3
19,0,0,Rpl13
20,0,0,Osbp2
21,2,1,Lrrtm4
22,0,0,Ksr1
23,0,0,Pip5k1b
24,2,0,Nkain3
25,2,0,Lpp
26,2,2,Cdh18
27,0,0,Eml6
28,0,0,Sipa1l2
29,0,1,St6galnac3
30,0,0,Prnp
31,0,1,Slit3
32,0,0,Sacs
33,0,0,Dgkh
34,0,2,Elavl3
35,2,2,Pcsk2
36,0,0,Rps3a1
37,2,1,Epha6
38,0,0,Calb1
39,0,0,Pcdh20
40,0,1,Rbm39
41,0,0,Dyrk1a
42,0,0,Gm13269
43,0,0,Slc15a2
44,0,0,Cox4i1
45,0,0,Tspan5
46,0,0,Golm1
47,0,0,Kcnab2
48,0,0,Rerg
49,0,1,Syt7
50,0,1,Gpm6a
51,1,2,Ankhd1
52,0,0,Rnf19a
53,2,0,Adamts3
54,0,1,Cnot2
55,2,0,Il1rapl2
56,0,1,Slc2a13
57,0,0,Ppp1r14c
58,0,1,Csrnp3
59,2,1,Ash1l
60,2,1,Gtdc1
61,0,1,Cacna1a
62,0,0,Stk32c
63,0,2,Upp2
64,0,0,Lrrn1
65,0,0,Ppm1l
66,0,0,Mrfap1
67,0,2,Rbm5
68,0,1,Abr
69,2,0,Arhgef28
70,0,0,Maml3
71,0,1,Fars2
72,0,0,Gabra5
73,0,0,Ncor2
74,0,0,Nrgn
75,0,0,Orai2
76,0,1,Gnaq
77,0,0,Gm9968
78,0,0,Hsp90aa1
79,0,0,Hpca
80,0,1,Gpatch8
81,0,0,Rpl7
82,0,0,Trim35
83,0,2,Lin28b
84,0,0,Rpl41
85,0,1,Ccnt2
86,0,0,Atp6v0b
87,0,0,Elmo2
88,2,1,Edil3
89,2,1,Vti1a
90,0,1,Pcnx
91,0,1,Nfasc
92,0,1,Cdh2
93,0,0,2610035D17Rik
94,0,0,Gfod1
95,0,0,Lars2
96,0,1,Mllt10
97,0,0,Arl6ip1
98,0,1,Mark2
99,0,0,Ncdn
100,0,1,Tnrc6a
101,0,1,Tspan7
102,2,0,Mlip
103,0,0,Tpt1
104,0,0,Cabin1
105,1,2,Ulk2
106,1,1,Klhdc10
107,0,1,Atp6v0a1
108,0,1,Kcnh1
109,2,1,Frmd4a
110,0,0,Cck
111,2,1,Lingo2
112,0,0,Fau
113,2,1,Mef2a
114,0,0,Fnip2
115,0,1,Chd9
116,0,1,Xpr1
117,0,0,Wasl
118,0,1,Kcnab1
119,0,0,Scg2
120,0,1,Susd4
121,0,0,Pcdh19
122,0,0,Tomm20
123,0,0,Fam118b
124,0,0,Rpl18
125,2,2,Hecw2
126,0,1,Kdm2a
127,0,0,Cdkl5
128,0,0,Nhsl2
129,2,1,Macf1
130,0,1,Hmbox1
131,0,1,Frrs1l
132,0,1,Kidins220
133,0,1,Crebbp
134,0,0,Mid1
135,0,0,Il16
136,0,1,Gprasp1
137,0,1,Apba2
138,0,0,Rpl23
139,2,0,Mast4
140,2,1,Lrrc7
141,1,0,Tmem30a
142,0,0,Eid1
143,0,0,Rpl18a
144,0,0,Kcna1
145,0,0,Neurl1a
146,0,0,Rac1
147,2,0,Ctnna3
148,2,1,Ppp1r12b
149,0,2,Srsf5
150,1,1,Zzz3
151,0,1,Snd1
152,0,1,Sez6l
153,0,1,Atxn10
154,2,1,Fbxl20
155,2,2,Nr6a1
156,0,0,Lrrn3
157,0,1,Pkia
158,2,1,Atp6v1h
159,2,0,Fgf13
160,0,2,Srrm3
161,1,1,Mib1
162,0,0,Rps6ka2
163,0,0,Mpp6
164,1,0,Ric1
165,2,1,Arhgap32
166,0,1,Smarca2
167,0,2,Slc25a23
168,2,1,Tmem135
169,0,1,Ap3b1
170,0,0,Lrrc8b
171,0,1,Sipa1l3
172,2,0,Sema3e
173,0,0,Nlgn3
174,0,0,Agpat4
175,0,0,Inf2
176,0,0,Robo3
177,0,1,Rtn4
178,0,1,Brinp1
179,1,1,Casc4
180,2,1,Lrrtm3
181,2,1,Dnajc13
182,2,1,Rora
183,0,0,Prr7
184,0,1,Homer1
185,0,1,Chst1
186,2,0,Il1r1
187,0,1,Cpd
188,0,1,Ubash3b
189,2,1,Jarid2
190,0,1,Kif5c
191,0,0,Kpnb1
192,2,1,Pitpnc1
193,0,1,Tmod2
194,2,0,Grik3
195,2,1,Dync2h1
196,2,1,Mast2
197,0,1,Mapk1
198,2,1,Acer3
199,0,0,Wbp1l
200,0,0,Bhlhe22
201,0,0,Jakmip3
202,1,1,Gpcpd1
203,2,1,Chsy3
204,2,0,Lcorl
205,0,1,Sidt1
206,0,1,Sptbn2
207,1,1,Cd2ap
208,0,0,Znrf2
209,0,1,Neto1
210,0,1,Camk2n1
211,0,0,Car12
212,2,1,Psd3
213,0,0,Enc1
214,0,0,1600010M07Rik
215,0,1,Fbxo34
216,0,1,Rlf
217,0,1,Wnk1
218,0,1,Faah
219,0,2,Gigyf1
220,2,0,Glra2
221,0,0,Ppp1r1a
222,2,1,Trappc8
223,0,0,Coro1c
224,0,0,Aldoa
225,0,1,Zswim6
226,0,0,Rpl24
227,0,1,Ano6
228,2,1,Armc8
229,0,0,Rpl30
230,2,1,Hipk2
231,0,0,Chrna7
232,0,1,Ctdspl
233,0,0,Sf1
234,1,1,Sos1
235,1,0,Pla2g3
236,0,0,Fam3c
237,0,1,Ppp6r2
238,0,1,Gnao1
239,0,0,3110082I17Rik
240,2,0,Supt3
241,0,0,Ndufb9
242,0,0,Tspan3
243,0,0,Map4k4
244,1,1,Ktn1
245,0,0,Tecr
246,0,0,Sh3gl1
247,0,0,Clmn
248,2,1,Zfp827
249,0,0,Ncs1
250,0,1,Cnrip1
251,0,1,Glt8d1
252,0,1,Crtc3
253,0,1,Ube4b
254,0,0,Slc25a4
255,1,1,Ccar1
256,0,0,Ctdsp2
257,0,1,Luc7l3
258,0,1,Scamp1
259,0,1,Svop
260,2,1,Arhgap44
261,1,0,Ripk2
262,0,1,Ankrd6
263,1,1,Arhgap5
264,0,1,5031425E22Rik
265,2,2,Zfhx3
266,0,0,Srl
267,0,1,Cbfa2t2
268,2,1,Rims2
269,1,0,Parp1
270,2,1,Zdhhc14
