,preds,labels,genes
0,0,0,Rbfox1
1,0,2,Grin1
2,0,0,Slc4a4
3,2,1,Nrg3
4,0,0,Dscam
5,2,1,Kcnd2
6,0,0,Prkce
7,2,2,Dmd
8,0,1,Grin2b
9,0,0,Ptchd4
10,2,0,Sema5a
11,0,0,Tiam1
12,0,0,Kcnj3
13,0,0,Pigk
14,0,0,Rplp1
15,1,2,Snrnp70
16,0,0,Kirrel3
17,1,2,Rbm25
18,0,0,Glis3
19,0,0,Ubb
20,0,0,Jph1
21,0,0,Pdzd2
22,0,0,Rps2
23,0,0,Chn1
24,1,2,4930402H24Rik
25,0,0,Rps14
26,0,1,Mmp16
27,2,2,Unc5c
28,0,1,Dlgap2
29,0,0,Ccbe1
30,0,0,Shisa9
31,0,0,Enox1
32,0,2,Celf4
33,0,0,Rras2
34,0,1,Ppm1e
35,0,0,Shisa6
36,0,1,Syne1
37,0,0,Cnih3
38,0,0,Add2
39,2,1,Pi4ka
40,1,0,Grb14
41,1,1,Nipbl
42,2,1,Cadm2
43,0,0,Actb
44,0,1,Fam155a
45,1,0,Sh3kbp1
46,1,1,Trank1
47,1,1,Adam22
48,0,0,Klf9
49,1,1,Braf
50,0,0,Klf13
51,2,1,Zcchc7
52,1,0,Kansl1l
53,1,1,Ttc14
54,0,1,Pacsin1
55,0,1,Nrg2
56,0,0,Slc16a7
57,0,1,Stxbp5
58,0,1,Arhgef9
59,0,0,Mcu
60,0,0,Rpl13a
61,1,0,Rpl11
62,0,0,Foxk1
63,0,1,Cpeb4
64,1,1,Kmt2e
65,0,0,Mkx
66,2,0,Grip1
67,0,1,Cacnb4
68,0,2,Map7
69,0,0,Atp2b2
70,0,0,Foxn3
71,1,1,Herc1
72,0,1,Cers6
73,1,1,Spag9
74,2,1,Bcas3
75,0,0,Myo5b
76,1,1,Akt3
77,0,1,Nfib
78,1,1,Phf14
79,0,0,Ntf3
80,0,0,Fam120a
81,0,0,Tbcel
82,0,1,Olfm1
83,2,1,Fut9
84,1,0,Tsga10
85,1,1,Phf20l1
86,0,0,Rps27a
87,0,1,Stim2
88,2,1,Dock3
89,2,1,Ccdc88a
90,0,0,Nptx1
91,0,1,Bsn
92,2,1,Agap1
93,0,0,Ptpra
94,0,1,Ank
95,2,1,Exoc4
96,0,0,Rps15
97,2,1,Samd12
98,2,0,Fgfr2
99,0,0,Lrfn2
100,0,1,Atp2c1
101,1,1,Ppp3cb
102,1,0,4921534H16Rik
103,2,1,Fbxl17
104,0,0,Clvs2
105,0,0,Ip6k2
106,0,0,Ski
107,0,1,Slc44a1
108,2,0,Trhde
109,1,0,Peli1
110,2,1,Grm7
111,1,1,Magi2
112,1,1,Ube3c
113,1,0,Slc39a11
114,1,1,Taok1
115,1,2,Cul9
116,0,0,Fbxw11
117,1,2,Ckap5
118,1,1,Trpm7
119,0,0,Icam5
120,0,0,Ywhah
121,2,1,Cdkal1
122,0,0,Dcx
123,0,0,Crtc1
124,0,0,Brk1
125,0,1,Dock9
126,0,0,Rpl5
127,0,1,Camk2b
128,1,1,Cpsf6
129,1,1,Huwe1
130,0,1,Gabrb2
131,0,1,Mtmr12
132,1,0,8030462N17Rik
133,0,1,Itsn1
134,1,1,Smg7
135,1,2,Fcho2
136,2,0,Slc8a1
137,0,0,Chst11
138,0,0,Dscaml1
139,0,0,Ctif
140,1,2,Usp7
141,0,0,Anp32a
142,0,0,Trak1
143,0,0,Pkig
144,1,1,Picalm
145,2,1,Xrn1
146,0,1,Dip2c
147,0,2,Pabpn1
148,0,0,Rpl7a
149,0,0,Rpl3
150,0,0,Cplx2
151,0,1,Setbp1
152,1,1,Tbl1xr1
153,2,2,Kcnq5
154,0,1,Chl1
155,0,1,Wscd2
156,1,0,Zc3h14
157,2,1,Dlg1
158,1,0,Gm4258
159,0,1,Gabra4
160,1,1,Peg3
161,0,1,Prkag2
162,0,1,Cyth1
163,0,1,Syt17
164,0,0,Snph
165,0,1,Epn2
166,0,2,D630045J12Rik
167,1,1,Usp15
168,0,1,Znrf1
169,2,1,Dym
170,1,1,Ncoa6
171,1,0,Chgb
172,1,1,Mtdh
173,0,1,Med27
174,1,1,Map3k2
175,0,1,St6galnac5
176,0,0,Kcnip2
177,1,0,Zfp871
178,1,1,Mbtd1
179,0,0,Rpl4
180,0,0,Zbtb18
181,0,1,Cdc40
182,0,0,Lypd1
183,0,0,Mt3
184,0,0,Rps17
185,2,1,Dock7
186,0,2,Celf5
187,0,1,Add3
188,1,1,Rufy3
189,2,2,Tox
190,1,1,Rsf1
191,1,1,Aplp2
192,0,1,Megf9
193,1,2,Rgs17
194,2,0,Kcnh5
195,0,2,Clk1
196,0,0,Arl6ip5
197,0,0,Dynll1
198,1,1,Tmem117
199,0,0,Pebp1
200,2,1,Ralgapa1
201,0,0,Tgfa
202,1,1,Abl2
203,1,1,Smap1
204,0,1,Ubap2l
205,0,1,Sh3gl2
206,2,1,Vps13d
207,1,1,Rab28
208,1,0,Pip4k2a
209,0,0,Manf
210,0,0,Mvb12b
211,1,0,P2ry12
212,0,0,Kcnc1
213,0,0,Rps15a
214,0,0,Gm26917
