,preds,labels,genes
0,1,1,Dlg2
1,1,1,Dab1
2,2,1,Auts2
3,1,0,Ptprg
4,0,0,Kif26b
5,0,0,Nedd4l
6,0,0,Ncald
7,0,1,Gria1
8,0,0,Nebl
9,0,0,Rfx3
10,0,0,D430041D05Rik
11,0,1,Lrfn5
12,0,0,Cdh8
13,2,0,Robo2
14,0,0,Prkd1
15,2,0,Robo1
16,0,0,Cblb
17,0,0,Sphkap
18,0,0,Ptpro
19,0,0,Nhsl1
20,2,0,Pcdh15
21,0,0,Kcnt2
22,0,0,Map1b
23,2,2,Clmp
24,0,0,Pgbd5
25,0,0,Calm1
26,1,2,Snhg11
27,2,0,Nrg3os
28,0,0,P2ry14
29,0,0,5330438D12Rik
30,0,0,Fth1
31,0,0,Rps8
32,1,1,Clstn2
33,0,0,Arid1b
34,0,1,Ryr2
35,0,1,Ppfia2
36,2,1,Atrnl1
37,0,1,Tnik
38,2,2,Ntm
39,2,1,Tmem108
40,1,1,Gabrb1
41,0,1,Med12l
42,2,1,Srgap3
43,0,0,Arsb
44,2,0,Dnah9
45,2,0,Erc1
46,1,1,Herc2
47,0,0,Wipf3
48,1,1,Kansl1
49,0,0,Gfra2
50,2,2,Cntn3
51,1,1,Zfr
52,0,0,Acvr2a
53,1,0,Ube3a
54,0,0,Kcnk1
55,0,0,Kbtbd11
56,1,0,Ywhag
57,1,0,Gm20319
58,1,2,Rian
59,2,1,Rbm6
60,0,0,C1ql3
61,1,0,Rps10
62,0,2,Cdk9
63,0,0,Eif1
64,0,0,Gabbr2
65,0,1,Nfia
66,0,1,Prickle2
67,2,0,Sema6d
68,2,0,Adk
69,1,1,Cadps
70,2,1,Ccser1
71,0,1,Atp8a1
72,2,2,Cntnap2
73,1,1,Wdr7
74,1,1,Unc79
75,0,0,Nck2
76,2,1,Sptbn4
77,0,1,Trim9
78,0,1,Tsc22d1
79,0,0,Cacna1h
80,2,1,Birc6
81,0,1,Snap25
82,0,0,Pcp4
83,2,2,Sgcz
84,1,1,Snap91
85,2,0,Syt13
86,0,1,Lgi1
87,0,0,Ywhaz
88,0,0,Rpl14
89,0,0,Rps3
90,0,0,Atp5j
91,0,0,Capza2
92,0,0,Rps7
93,0,0,Rps12
94,0,0,Rps16
95,0,0,Rps23
96,0,0,Itpr1
97,0,1,Tmem132b
98,0,1,Kcnd3
99,0,1,Atxn7l1
100,2,0,Slit1
101,0,1,Mef2c
102,2,1,Ptpre
103,0,0,Ptprj
104,2,0,Clec16a
105,0,1,Mpdz
106,0,1,Mical3
107,0,0,Capzb
108,0,1,Cyfip2
109,0,0,2900026A02Rik
110,2,1,Gsk3b
111,2,1,Fgd4
112,0,1,Scai
113,0,0,Fgfr1
114,0,0,Nsg2
115,0,0,Lurap1l
116,0,0,Jdp2
117,2,1,Tjp1
118,0,0,Ippk
119,2,1,Npepps
120,1,1,Rock2
121,0,1,Rprd1a
122,1,1,Bclaf1
123,0,1,Ddx5
124,0,0,Rps19
125,0,2,Rsrp1
126,1,0,Rpl26
127,1,0,Rpl10
128,1,1,Shank2
129,0,1,Sh3rf3
130,0,1,Xkr4
131,2,1,Vav3
132,0,1,Syt16
133,2,1,Zfp407
134,2,1,Rimbp2
135,0,1,Dtna
136,0,1,Me3
137,0,0,Sncaip
138,0,0,Gtf2f2
139,0,1,Nckap1
140,0,0,Ildr2
141,2,1,Itga8
142,1,0,Nup93
143,0,1,Ube2w
144,0,1,Psmd14
145,1,1,Lcor
