,preds,labels,genes
0,1,1,Erc2
1,1,0,Zbtb20
2,0,1,Slit3
3,0,0,Cacna1c
4,0,1,St6galnac3
5,1,1,Lrrtm4
6,0,0,Lpp
7,0,0,Nkain3
8,0,0,Pip5k1b
9,0,0,Eml6
10,0,1,Gabrb3
11,0,0,Rasal2
12,2,2,Unc5d
13,0,0,Osbp2
14,2,0,Ksr1
15,0,0,Tspan18
16,0,0,Ahcyl2
17,0,0,Il1rap
18,2,2,Cdh18
19,0,0,Sipa1l2
20,2,2,Camk2d
21,0,0,Cdh9
22,0,0,Atp1b1
23,2,2,Nrg1
24,1,2,Meg3
25,1,0,Prnp
26,2,2,Kcnq1ot1
27,1,0,Atp6v0c
28,1,0,Gm15738
29,0,0,Rpl13
30,0,0,Tmsb4x
31,2,0,Tenm1
32,1,1,Epha6
33,0,1,Slc2a13
34,0,0,Tspan5
35,1,1,Cacna1a
36,0,0,Dgkh
37,0,1,Csrnp3
38,2,2,Pcsk2
39,1,2,Upp2
40,1,1,Gtdc1
41,0,0,Adamts3
42,0,0,Dyrk1a
43,0,0,Stk32c
44,0,1,Gpm6a
45,2,0,Kcnab2
46,0,0,Rerg
47,2,1,Syt7
48,0,1,Cnot2
49,0,0,Ppp1r14c
50,1,1,Ash1l
51,0,0,Sacs
52,0,0,Golm1
53,0,0,Rnf19a
54,1,2,Elavl3
55,1,0,Gm13269
56,0,0,Pcdh20
57,0,0,Calb1
58,1,2,Ankhd1
59,1,1,Rbm39
60,2,0,Il1rapl2
61,1,0,Slc15a2
62,0,0,Rps3a1
63,0,0,Cox4i1
64,0,0,Maml3
65,0,1,Fars2
66,0,0,Arhgef28
67,0,1,Gnaq
68,0,1,Abr
69,2,0,Ncor2
70,0,0,Ppm1l
71,0,1,Nfasc
72,0,1,Cdh2
73,0,1,Pcnx
74,0,0,2610035D17Rik
75,2,1,Vti1a
76,0,1,Edil3
77,0,0,Gfod1
78,0,0,Elmo2
79,1,0,Lars2
80,0,0,Lrrn1
81,0,0,Gabra5
82,0,0,Orai2
83,1,1,Gpatch8
84,1,1,Ccnt2
85,0,0,Trim35
86,0,0,Gm9968
87,0,0,Hpca
88,0,0,Nrgn
89,1,2,Rbm5
90,1,0,Hsp90aa1
91,0,0,Rpl7
92,0,0,Rpl41
93,1,0,Atp6v0b
94,0,0,Mrfap1
95,2,2,Lin28b
96,0,1,Frmd4a
