,preds,labels,genes
0,0,1,Celf2
1,1,1,Trpm3
2,1,1,Nrxn1
3,2,2,Nrxn3
4,0,0,Cacna1e
5,0,1,Nlgn1
6,0,0,Grid1
7,0,0,Tnr
8,0,0,Pard3
9,0,0,Plxna4
10,0,0,Fgf14
11,0,0,Egfem1
12,0,0,Ntrk3
13,0,0,Plcl1
14,0,0,Nell2
15,2,0,Rgs6
16,0,0,Zbtb16
17,2,2,Tmem132d
18,0,2,Mapt
19,0,0,Cyp7b1
20,0,0,Gm28376
21,2,2,Cobl
22,2,2,Pcdh7
23,0,0,Hectd2
24,0,0,Atp1a1
25,0,0,Hsp90ab1
26,0,0,Eef1a1
27,0,0,C1qtnf4
28,2,2,Zfp804b
29,0,0,Rpl17
30,1,0,AY036118
31,1,0,Pcsk1n
32,0,1,Zfpm2
33,0,1,Cacna1d
34,0,1,Grm1
35,0,0,Ppm1h
36,0,0,Dpf3
37,0,0,Spon1
38,0,1,Wdfy3
39,0,1,Hivep2
40,0,0,Nfix
41,0,1,Stxbp5l
42,0,0,Sorl1
43,0,0,Bcl11b
44,0,0,Adcy1
45,0,0,Snca
46,0,0,Sorbs2os
47,0,0,Ppp1r13b
48,0,0,Kcng2
49,0,0,Arhgap20
50,0,0,Slc4a7
51,0,0,Npnt
52,0,1,Gls
53,1,1,Pafah1b1
54,1,0,Aagab
55,1,0,Galnt11
56,1,1,Ubn2
57,1,1,Tia1
58,0,0,Serinc1
59,1,1,Sfpq
60,0,0,Rpsa
61,1,2,Fus
62,0,0,AI593442
63,0,0,Rpl9
64,0,1,Kalrn
65,0,1,Nav2
66,0,1,Zfp536
67,0,1,Zfand3
68,0,0,Ust
69,0,2,Pde4b
70,0,1,Tmcc1
71,0,0,Kcnn3
72,0,2,Ablim2
73,0,0,Asxl3
74,1,1,Kmt2c
75,0,1,Zfp148
76,0,1,Arhgap39
77,1,0,Slc35f3
78,0,1,Bptf
79,0,0,Herc3
80,0,1,Ndrg4
81,2,1,Galnt13
82,0,0,Prox1os
83,1,1,Rfx7
84,0,0,Fbn2
85,1,1,Zmym4
86,1,2,Cpeb1
87,1,0,Psap
88,1,1,Rc3h2
89,1,0,1810013L24Rik
90,1,1,Sltm
91,1,1,Dnm1l
92,0,0,Rnasek
93,1,0,Gm28750
94,1,0,Rpl6
95,1,1,Ftx
96,1,1,Prkca
97,0,1,Ttc7b
98,0,1,Fyn
99,1,1,Otud7a
100,0,1,Rgl1
101,0,1,Astn1
102,0,0,Zhx2
103,0,1,Nol4
104,0,0,Nrp2
105,0,1,Cpeb3
106,0,0,Pitpnm2
107,0,0,Htr4
108,0,0,Ttc39c
109,1,1,Acap2
110,0,1,Osbpl8
111,0,1,Dnmt3a
112,1,0,Cnnm2
113,0,0,Tmem150c
114,0,1,Itsn2
115,0,0,Sh3bp5
116,0,1,Scn3a
117,0,0,Parp8
118,1,1,Pias1
119,1,1,Rabep1
120,1,1,Pias2
121,1,0,Gm12339
122,0,0,Slc39a6
123,0,0,Slc24a5
124,0,2,Rnf112
125,0,0,Rpl8
126,2,1,Ogt
127,2,0,Mamld1
128,0,1,Btbd9
129,1,1,Aff3
130,2,1,Foxp1
131,2,1,Rptor
132,0,1,Jazf1
133,0,0,Ulk4
134,2,2,Tmem178b
135,0,1,St18
136,0,1,Nrp1
137,0,0,Igsf11
138,0,0,Fam49a
139,0,0,Kcnb1
140,1,1,Csnk1g1
141,0,0,Rph3a
142,0,1,Kcnq2
143,0,0,B3galt5
144,0,0,Rab6b
145,0,1,Stx6
146,0,1,Cdc42se2
147,0,1,Rasa1
148,1,1,Rock1
149,1,2,Dennd5b
150,1,0,Ttc19
151,1,1,Srcap
152,2,1,Vps13a
153,1,2,Itch
154,1,0,Ccdc47
155,0,0,Gpr22
156,0,0,Rab3a
157,0,0,Atxn7l3b
158,1,0,Rps4x
159,1,1,Gpm6b
160,0,0,Rbfox3
161,1,1,Dcc
162,0,1,Nrcam
163,2,2,Msi2
164,0,1,Lrch1
165,1,1,Tom1l2
166,0,1,Hs2st1
167,0,0,Strn
168,1,1,Nin
169,0,1,Tle1
170,1,1,Chd6
171,0,0,Vrk1
172,0,0,Eps8
173,0,1,Arhgef2
174,0,0,Sdcbp
175,0,0,Slc25a25
176,0,1,Akap11
177,1,1,Btaf1
178,0,1,Rasgef1a
179,0,1,March7
180,1,1,Uri1
181,0,0,Tsc22d2
182,0,0,Slc6a15
183,0,1,Miat
184,1,1,Myef2
185,1,1,Ggnbp2
186,0,1,BC005537
187,0,0,Rps6
188,0,0,Slitrk2
189,2,1,Reps2
190,0,0,Bex2
191,1,0,Dock11
192,0,0,Snx29
193,1,0,Rapgef5
194,0,1,Micu1
195,0,1,Aig1
196,0,0,Ablim3
197,0,1,9530059O14Rik
198,0,0,Arhgef3
199,2,1,Pak7
200,2,2,9530026P05Rik
201,1,1,Prrc2b
202,0,1,Slc1a1
203,0,1,Spred2
204,0,1,Dagla
205,0,0,Agap3
206,0,1,Map2k1
207,1,1,Glg1
208,0,0,Irs1
209,1,0,Mrps9
210,1,1,Slc8a2
211,1,1,Slc39a14
212,0,1,Kif5b
213,1,0,Ctsb
214,0,1,Mat2a
