gene_name,gene_length,gene_type,gene_chr
Nrg1,1069703.0,protein_coding,chr8
Snhg11,10507.0,protein_coding,chr2
Zfp804b,575746.0,protein_coding,chr5
Xist,22888.0,lincRNA,chrX
Nrxn3,1612059.0,protein_coding,chr12
Camk2d,250024.0,protein_coding,chr3
Meg3,30725.0,,
Rfx3,249445.0,protein_coding,chr19
Grin2a,427662.0,protein_coding,chr16
Zbtb20,766721.0,protein_coding,chr16
Rbfox1,1526171.0,protein_coding,chr16
Grin1,28006.0,,
Egfem1,609186.0,protein_coding,chr3
Fgf14,699220.0,protein_coding,chr14
Slc4a4,352835.0,protein_coding,chr5
Plxna4,443924.0,protein_coding,chr6
Gm15738,114381.0,,
Il1rapl1,1374775.0,protein_coding,chrX
Cacna1e,493770.0,protein_coding,chr1
Nell2,453329.0,protein_coding,chr15
Auts2,1106011.0,protein_coding,chr5
Nrg3os,60492.0,antisense,chr14
Cdh8,392000.0,protein_coding,chr8
Nrg3,1104136.0,protein_coding,chr14
Unc5d,572919.0,protein_coding,chr8
Negr1,754651.0,protein_coding,chr3
Maml2,411431.0,protein_coding,chr9
Cacna1c,609178.0,protein_coding,chr6
Nlgn1,906245.0,protein_coding,chr3
Cyp7b1,171388.0,protein_coding,chr3
Dok6,477104.0,protein_coding,chr18
Robo1,737789.0,protein_coding,chr16
Dscam,579912.0,protein_coding,chr16
Gm28376,193446.0,antisense,chr1
Kcnq1ot1,93091.0,,
Pcdh15,1550395.0,protein_coding,chr10
Grm8,860059.0,protein_coding,chr6
Ahcyl2,144299.0,protein_coding,chr6
Ntrk3,562053.0,protein_coding,chr7
Fth1,4500.0,,
Kcnd2,514302.0,protein_coding,chr6
Prkce,490134.0,protein_coding,chr17
Dmd,2257271.0,protein_coding,chrX
Calm1,10379.0,protein_coding,chr12
AY036118,,,
Atp1b1,21246.0,protein_coding,chr1
Grin2b,460278.0,protein_coding,chr6
Mapt,100700.0,protein_coding,chr11
Tmem132d,651447.0,protein_coding,chr5
Cmss1,304864.0,protein_coding,chr16
Dab1,1125485.0,protein_coding,chr4
Plcl1,348364.0,protein_coding,chr1
5330438D12Rik,74463.0,,
Lrp1b,2058378.0,protein_coding,chr2
Kcnj6,249065.0,protein_coding,chr16
Tspan18,132745.0,protein_coding,chr2
Kcnt2,365909.0,protein_coding,chr1
Hsp90ab1,5496.0,,
Erc2,856109.0,protein_coding,chr14
Eef1a1,10702.0,protein_coding,chr9
Celf2,969869.0,protein_coding,chr2
Pard3,548393.0,protein_coding,chr8
Ptchd4,189130.0,protein_coding,chr17
Cdh9,128338.0,protein_coding,chr15
Nebl,387555.0,protein_coding,chr2
Sema5a,451531.0,protein_coding,chr15
Rasal2,277413.0,protein_coding,chr1
Pgbd5,70609.0,protein_coding,chr8
Grid1,763271.0,protein_coding,chr14
Il1rap,148413.0,protein_coding,chr16
Tiam1,356658.0,protein_coding,chr16
Kcnj3,162175.0,protein_coding,chr2
Rgs6,573764.0,protein_coding,chr12
Pigk,266308.0,protein_coding,chr3
Chst9,308233.0,protein_coding,chr18
Atp6v0c,5836.0,,
2010300C02Rik,108408.0,protein_coding,chr1
Sphkap,154061.0,protein_coding,chr1
Tmsb4x,2222.0,protein_coding,chrX
Tenm1,901260.0,protein_coding,chrX
Rplp1,1258.0,,
Gabrb3,409110.0,protein_coding,chr7
Snrnp70,19289.0,protein_coding,chr7
Kirrel3,550822.0,protein_coding,chr9
Sorcs2,380959.0,protein_coding,chr5
Dlg2,1972575.0,protein_coding,chr7
Tnr,407960.0,protein_coding,chr1
Epha7,154368.0,protein_coding,chr4
Zbtb16,181925.0,protein_coding,chr9
Rbm25,51887.0,,
Rpl13,2894.0,,
Adamts17,313436.0,protein_coding,chr7
Slc44a5,298286.0,protein_coding,chr3
Glis3,421226.0,protein_coding,chr19
Lrfn5,335192.0,protein_coding,chr12
Osbp2,160172.0,protein_coding,chr11
Ubb,2042.0,,
Rasgrf2,251256.0,protein_coding,chr13
Lrrtm4,791266.0,protein_coding,chr6
Jph1,133329.0,protein_coding,chr1
Rtn1,197302.0,protein_coding,chr12
Pdzd2,380213.0,protein_coding,chr15
Pcdh7,415263.0,protein_coding,chr5
Ptpro,210914.0,protein_coding,chr6
Prox1,52679.0,protein_coding,chr1
Nrxn1,1059440.0,protein_coding,chr17
Rps2,3813.0,,
Ptprg,688509.0,protein_coding,chr14
Pcsk1n,4588.0,,
Atp1a1,28465.0,,
C1qtnf4,4665.0,,
Ksr1,132967.0,protein_coding,chr11
P2ry14,39763.0,,
Ccdc85a,198639.0,protein_coding,chr11
Rpl17,4823.0,,
Nhsl1,214907.0,protein_coding,chr10
Prkd1,307867.0,protein_coding,chr12
Chn1,164686.0,protein_coding,chr2
Cblb,176823.0,protein_coding,chr16
Ncald,426395.0,protein_coding,chr15
Trpc4,162436.0,protein_coding,chr3
Gm20642,30359.0,,
Trpm3,856364.0,protein_coding,chr19
D430041D05Rik,267940.0,protein_coding,chr2
Clmp,99357.0,protein_coding,chr9
Cobl,228352.0,protein_coding,chr11
Pip5k1b,261078.0,protein_coding,chr19
4930402H24Rik,200206.0,protein_coding,chr2
Nedd4l,330123.0,protein_coding,chr18
Hectd2,66496.0,protein_coding,chr19
Zfpm2,449557.0,protein_coding,chr15
Rps14,31448.0,,
Syt14,144542.0,protein_coding,chr1
Mmp16,266252.0,protein_coding,chr4
Rps8,2416.0,,
Map1b,95094.0,protein_coding,chr13
Unc5c,369708.0,protein_coding,chr3
Kif26b,410075.0,protein_coding,chr1
Nkain3,659992.0,protein_coding,chr4
Dlgap2,751815.0,protein_coding,chr8
Ccbe1,257439.0,protein_coding,chr18
Rpl9,3080.0,,
Npnt,68546.0,protein_coding,chr3
Lpp,599071.0,protein_coding,chr16
Shisa9,286789.0,protein_coding,chr16
Enox1,564997.0,protein_coding,chr14
Robo2,519986.0,protein_coding,chr16
Celf4,276525.0,protein_coding,chr18
Dpp10,724088.0,protein_coding,chr1
Gria1,318857.0,protein_coding,chr11
Cdh18,925396.0,protein_coding,chr15
Dnah9,337269.0,protein_coding,chr11
D10Wsu102e,128284.0,,
Dpf3,273971.0,protein_coding,chr12
Rras2,70999.0,protein_coding,chr7
Aagab,41928.0,protein_coding,chr9
Ppm1e,132117.0,protein_coding,chr11
Map3k4,91175.0,protein_coding,chr17
C1ql3,8349.0,,
Eml6,282985.0,protein_coding,chr11
Shisa6,314239.0,protein_coding,chr11
Sipa1l2,151745.0,protein_coding,chr8
Kbtbd11,22308.0,,
Spon1,277372.0,protein_coding,chr7
Kif1b,131374.0,protein_coding,chr4
Tmem108,278890.0,protein_coding,chr9
Itm2b,23063.0,,
Galnt18,308316.0,protein_coding,chr7
St6galnac3,526908.0,protein_coding,chr3
Rian,57908.0,,
Arsb,171386.0,protein_coding,chr13
Prnp,28501.0,,
Slit3,587283.0,protein_coding,chr11
Sacs,102238.0,protein_coding,chr14
Lrrc4c,1313497.0,protein_coding,chr2
Tnik,412644.0,protein_coding,chr3
Dgkh,174026.0,protein_coding,chr14
Syne1,530565.0,protein_coding,chr10
Arid1b,353324.0,protein_coding,chr17
Ryr2,553843.0,protein_coding,chr13
Elavl3,37018.0,,
Rbm6,99678.0,,
Snca,98280.0,protein_coding,chr6
Cnih3,108013.0,protein_coding,chr1
Tmem131,151475.0,protein_coding,chr1
Pcsk2,270129.0,protein_coding,chr2
Rps3a1,4762.0,,
Epha6,952048.0,protein_coding,chr16
Galnt11,44014.0,protein_coding,chr5
Calb1,26800.0,protein_coding,chr4
Pcdh20,6653.0,protein_coding,chr14
Erc1,277371.0,protein_coding,chr6
Add2,95728.0,,
Rbm39,32999.0,,
Rpsa,4680.0,,
Dyrk1a,125507.0,protein_coding,chr16
Sorl1,159577.0,protein_coding,chr9
Cntn3,410446.0,protein_coding,chr6
Clstn2,588786.0,protein_coding,chr9
Ppfia2,465613.0,protein_coding,chr10
Serinc1,16756.0,,
A830018L16Rik,561796.0,protein_coding,chr1
Adcy1,115017.0,protein_coding,chr11
Napepld,38495.0,protein_coding,chr5
Arhgef4,135121.0,protein_coding,chr1
Pi4ka,125963.0,protein_coding,chr16
Gm13269,26652.0,antisense,chr2
Cacna1d,451516.0,protein_coding,chr14
Wipf3,74165.0,protein_coding,chr6
Grb14,112511.0,protein_coding,chr2
Slc15a2,34785.0,protein_coding,chr16
Rpl19,3782.0,protein_coding,chr11
Nipbl,153846.0,protein_coding,chr15
Sorbs2os,95972.0,antisense,chr8
Cdh11,153547.0,protein_coding,chr8
Cadm2,965487.0,protein_coding,chr16
Kcng2,69708.0,protein_coding,chr18
Cdk9,7292.0,,
Pkp4,194358.0,protein_coding,chr2
Cacnb2,384820.0,protein_coding,chr2
Cox4i1,5985.0,,
Ywhag,26207.0,protein_coding,chr5
Clasp2,178209.0,,
Eif1,2211.0,,
Fus,18244.0,protein_coding,chr7
Tia1,29186.0,,
Tspan5,165710.0,protein_coding,chr3
Golm1,41185.0,protein_coding,chr13
Kcnab2,87168.0,protein_coding,chr4
Actb,3639.0,,
Fam155a,565259.0,protein_coding,chr8
Sh3kbp1,350797.0,protein_coding,chrX
Gm20319,41056.0,,
Hspa8,9103.0,protein_coding,chr9
