,preds,labels,genes
0,2,0,Grin2a
1,2,2,Grm8
2,2,1,Lrp1b
3,2,0,Kcnj6
4,2,0,Sorcs2
5,0,0,Epha7
6,2,0,Slc44a5
7,0,0,Map3k4
8,2,2,Lrrc4c
9,0,2,Xist
10,0,1,Il1rapl1
11,2,0,Negr1
12,0,0,Maml2
13,0,0,Dok6
14,0,0,Cmss1
15,0,0,Chst9
16,0,0,2010300C02Rik
17,2,0,Adamts17
18,0,0,Rasgrf2
19,0,0,Rtn1
20,0,0,Prox1
21,0,1,Ccdc85a
22,0,0,Trpc4
23,0,0,Gm20642
24,2,0,Syt14
25,0,2,Dpp10
26,1,0,D10Wsu102e
27,2,1,Kif1b
28,0,0,Itm2b
29,2,0,Galnt18
30,2,0,Tmem131
31,0,0,A830018L16Rik
32,2,1,Dst
33,2,2,Car10
34,2,2,Flnb
35,0,0,Sparcl1
36,2,1,Nbea
37,0,0,Btbd3
38,2,1,St7
39,0,0,Napepld
40,2,0,Arhgef4
41,0,0,Rpl19
42,0,0,Cdh11
43,2,1,Pkp4
44,0,1,Cacnb2
45,0,1,Clasp2
46,0,0,Hspa8
47,0,0,Abi1
48,0,0,Tmtc1
49,2,0,Nr3c2
50,0,0,Gm15594
51,1,0,Lyst
52,0,1,Dpp6
53,0,0,Itm2c
54,0,0,Prmt8
55,2,1,Prickle1
56,1,1,Pnisr
57,0,1,Mbd5
58,0,0,Gapdh
59,2,1,Sipa1l1
60,0,1,Ube2b
61,0,1,Usp34
62,0,1,Hnrnpu
63,0,1,Srrm2
64,2,0,Gse1
65,2,2,Agbl4
66,2,1,Rgs7
67,2,1,Adcy9
68,2,2,Dgkb
69,0,1,Ptprs
70,0,0,Gm17167
71,0,0,Ppp2r2c
72,0,2,Grid2
73,0,0,Adcyap1r1
74,2,1,Ssbp2
75,0,0,Caly
76,0,0,Rps5
77,0,0,Ppia
78,0,0,Zdhhc23
79,0,1,Frmd4b
80,0,0,Tubb2a
81,2,0,1700025G04Rik
82,0,2,Akap8l
83,2,1,Ncor1
84,0,1,Cntnap5b
85,0,0,Scn3b
86,2,2,Trps1
87,0,1,Mctp1
88,0,1,Slc4a10
89,0,0,Atp2a2
90,2,1,Rit2
91,0,0,Gng2
92,0,0,Fam171b
93,0,1,E130307A14Rik
94,0,1,Pclo
95,0,1,Ambra1
96,2,1,Acvr1
97,2,2,Asap1
98,2,1,Dapk1
99,2,1,Hivep3
100,2,0,Gm12296
101,2,1,Atf6
102,2,1,Macrod2
103,0,0,Ppp1r16b
104,2,1,Igf1r
105,2,0,Mcf2l
106,0,2,Ankrd12
107,0,0,Lrp12
108,0,1,Usp32
109,2,0,Gda
110,0,1,Rbm26
111,0,1,Sbf2
112,2,1,Dclk1
113,0,0,Kcnc3
114,0,0,Rpl23a
115,0,1,Baz2b
116,0,0,A230004M16Rik
117,0,0,F730043M19Rik
118,0,0,Cox7c
119,0,1,Esyt2
120,0,0,Fyco1
121,0,1,Setd2
122,0,1,Gapvd1
123,0,1,Dync1i1
124,0,0,Slc35f1
125,0,0,Trpc5
126,0,1,Gucy1a2
127,2,1,Slc24a4
128,2,1,Ksr2
129,0,1,Gtf2i
130,2,0,Nckap5
131,0,2,Fmn1
132,2,0,Cenpp
133,2,1,Chchd3
134,2,1,Nmnat2
135,0,0,Lrrn2
136,2,0,9630028H03Rik
137,0,2,Ighm
138,0,0,Ubl3
139,2,0,Cyth3
140,0,1,Atxn2
141,0,1,Cdk13
142,0,0,Fat4
143,0,0,Rps24
144,0,1,Kat6b
145,0,0,Jph3
146,0,1,Cnnm1
147,0,1,Orc4
148,0,0,Zfyve28
149,0,1,Pspc1
150,0,1,Nfat5
151,0,1,Ola1
152,2,1,Ano3
153,0,1,Ndrg3
154,0,1,Sorbs1
155,0,1,Focad
156,0,1,Dis3l2
157,2,1,Clasp1
158,0,0,Gng7
159,0,0,Mrpl41
160,2,1,Camk1d
161,2,0,Lamc1
162,2,0,Galnt2
163,2,1,Myt1l
164,2,1,Agtpbp1
165,2,1,Zfp532
166,0,1,Inpp4a
167,0,1,Lmo7
168,2,0,Fam110b
169,0,1,Aplp1
170,2,0,Zfp106
171,0,0,Atf7ip
172,2,0,Tiam2
173,0,0,Rasl10a
174,0,0,Pgrmc1
175,0,1,Plxna2
176,2,1,Ralgapa2
177,0,1,Pcmtd1
178,0,0,Coro2b
179,2,1,Ext1
180,0,0,Rpl27a
181,0,0,Pcdh1
182,0,1,Jakmip2
183,2,0,Pard3b
184,0,1,Ppp3r1
185,0,0,Ctnnb1
186,0,1,Ccny
187,0,1,Chd2
188,0,1,Zranb1
189,0,1,Pcdh17
190,0,0,Abcb10
191,0,0,Foxo1
192,2,1,Adcy2
193,0,1,Prkcb
194,0,0,Bach2
195,0,1,Nmt1
196,0,1,Dpysl2
197,0,0,Mmp17
198,2,1,R3hdm2
199,2,1,Dgkd
200,0,1,Rab11fip2
201,0,1,Fam222b
202,0,1,Actr3
203,0,1,Tub
204,0,1,Fam120c
205,0,0,Kcnh7
206,0,0,Npy5r
207,0,0,Rpl10a
208,0,0,Eif4g2
209,0,1,Memo1
210,0,1,Krit1
211,0,1,Zfp445
212,0,0,Orc6
213,0,1,Zmynd8
214,0,1,Prr14l
215,1,0,Tet2
216,0,0,Rpl28
217,2,1,B3galt1
218,2,1,Rasgrf1
219,0,0,Rbm4
220,0,0,Ephb2
221,0,1,Zwint
222,2,1,Sgsm2
223,2,1,Slc24a2
224,2,1,Anks1b
225,2,1,Smarca4
226,2,2,Esrrg
227,2,0,Lrrc28
228,0,1,Usp48
229,0,1,Tasp1
230,0,0,Kcna4
231,0,0,0610030E20Rik
232,0,1,Ccnl1
233,0,0,Gm15624
234,0,1,Mtch2
