,preds,labels,genes
0,2,1,Erc2
1,2,0,Cacna1c
2,2,1,St6galnac3
3,2,2,Unc5d
4,2,0,Ksr1
5,2,0,Lpp
6,2,0,Pip5k1b
7,2,0,Ahcyl2
8,2,0,Rasal2
9,2,1,Slit3
10,1,2,Nrg1
11,1,2,Camk2d
12,1,2,Meg3
13,1,0,Zbtb20
14,1,0,Gm15738
15,1,2,Kcnq1ot1
16,1,0,Atp1b1
17,1,0,Tspan18
18,1,0,Cdh9
19,1,0,Il1rap
20,1,0,Atp6v0c
21,1,0,Tmsb4x
22,1,0,Tenm1
23,1,1,Gabrb3
24,1,0,Rpl13
25,2,0,Osbp2
26,1,1,Lrrtm4
27,2,0,Nkain3
28,2,2,Cdh18
29,2,0,Eml6
30,1,0,Sipa1l2
31,1,0,Prnp
32,1,0,Tspan5
33,2,1,Slc2a13
34,2,2,Upp2
35,1,0,Sacs
36,2,0,Dgkh
37,1,2,Elavl3
38,1,2,Pcsk2
39,1,0,Rps3a1
40,1,1,Epha6
41,1,0,Calb1
42,1,0,Pcdh20
43,1,1,Rbm39
44,1,0,Dyrk1a
45,1,0,Gm13269
46,1,0,Slc15a2
47,1,0,Cox4i1
48,1,0,Golm1
49,1,0,Kcnab2
50,1,0,Rerg
51,1,1,Syt7
52,1,1,Gpm6a
53,1,2,Ankhd1
54,1,0,Rnf19a
55,1,0,Adamts3
56,1,1,Cnot2
57,1,0,Il1rapl2
58,1,0,Ppp1r14c
59,1,1,Csrnp3
60,1,1,Ash1l
61,1,1,Gtdc1
62,2,1,Cacna1a
63,1,0,Stk32c
64,2,1,Abr
65,2,1,Fars2
66,2,0,Ncor2
67,2,1,Gnaq
68,1,1,Ccnt2
69,2,1,Vti1a
70,2,1,Pcnx
71,2,0,Arhgef28
72,2,0,Maml3
73,1,0,Lrrn1
74,1,0,Ppm1l
75,1,0,Mrfap1
76,1,2,Rbm5
77,1,0,Gabra5
78,1,0,Nrgn
79,1,0,Orai2
80,1,0,Gm9968
81,1,0,Hsp90aa1
82,1,0,Hpca
83,2,1,Gpatch8
84,1,0,Rpl7
85,1,0,Trim35
86,1,2,Lin28b
87,1,0,Rpl41
88,1,0,Atp6v0b
89,1,0,Elmo2
90,1,1,Edil3
91,1,1,Nfasc
92,1,1,Cdh2
93,1,0,2610035D17Rik
94,1,0,Gfod1
95,2,0,Lars2
96,2,0,Fnip2
97,1,0,Cabin1
98,2,1,Kcnh1
99,1,1,Susd4
100,1,1,Mllt10
101,1,0,Arl6ip1
102,1,1,Mark2
103,1,0,Ncdn
104,1,1,Tnrc6a
105,1,1,Tspan7
106,1,0,Mlip
107,1,0,Tpt1
108,1,2,Ulk2
109,1,1,Klhdc10
110,1,1,Atp6v0a1
111,1,1,Frmd4a
112,1,0,Cck
113,1,1,Lingo2
114,1,0,Fau
115,1,1,Mef2a
116,1,1,Chd9
117,1,1,Xpr1
118,1,0,Wasl
119,2,1,Kcnab1
120,1,0,Scg2
121,1,0,Pcdh19
122,1,0,Tomm20
123,1,0,Fam118b
124,1,0,Rpl18
125,2,2,Hecw2
126,1,1,Kdm2a
127,1,0,Cdkl5
128,2,0,Mast4
129,2,1,Apba2
130,2,1,Ppp1r12b
131,2,1,Snd1
132,2,0,Nhsl2
133,1,1,Frrs1l
134,2,0,Ctnna3
135,2,1,Sez6l
136,1,1,Macf1
137,1,1,Hmbox1
138,1,1,Kidins220
139,1,1,Crebbp
140,1,0,Mid1
141,1,0,Il16
142,1,1,Gprasp1
143,1,0,Rpl23
144,2,1,Lrrc7
145,1,0,Tmem30a
146,1,0,Eid1
147,1,0,Rpl18a
148,1,0,Kcna1
149,1,0,Neurl1a
150,1,0,Rac1
151,1,2,Srsf5
152,1,1,Zzz3
153,1,1,Atxn10
154,2,1,Fbxl20
155,1,2,Nr6a1
156,1,0,Lrrn3
157,1,1,Pkia
158,1,1,Atp6v1h
159,1,0,Fgf13
160,2,1,Rora
161,1,1,Ubash3b
162,1,2,Srrm3
163,2,1,Smarca2
164,1,1,Sipa1l3
165,1,1,Mib1
166,2,0,Rps6ka2
167,2,0,Mpp6
168,2,0,Ric1
169,2,1,Arhgap32
170,1,2,Slc25a23
171,1,1,Tmem135
172,2,1,Ap3b1
173,1,0,Lrrc8b
174,1,0,Sema3e
175,1,0,Nlgn3
176,2,0,Agpat4
177,1,0,Inf2
178,1,0,Robo3
179,1,1,Rtn4
180,1,1,Brinp1
181,1,1,Casc4
182,2,1,Lrrtm3
183,2,1,Dnajc13
184,1,0,Prr7
185,1,1,Homer1
186,1,1,Chst1
187,1,0,Il1r1
188,1,1,Cpd
189,1,1,Jarid2
190,1,1,Kif5c
191,1,0,Kpnb1
192,2,1,Pitpnc1
193,1,0,Jakmip3
194,1,1,Sptbn2
195,2,1,Psd3
196,1,1,Tmod2
197,1,0,Grik3
198,1,1,Dync2h1
199,1,1,Mast2
200,1,1,Mapk1
201,1,1,Acer3
202,1,0,Wbp1l
203,1,0,Bhlhe22
204,1,1,Gpcpd1
205,1,1,Chsy3
206,1,0,Lcorl
207,1,1,Sidt1
208,1,1,Cd2ap
209,1,0,Znrf2
210,1,1,Neto1
211,1,1,Camk2n1
212,1,0,Car12
213,1,0,Enc1
214,1,0,1600010M07Rik
215,1,1,Fbxo34
216,1,1,Rlf
217,1,1,Wnk1
218,1,1,Faah
219,1,2,Gigyf1
220,1,0,Glra2
221,1,0,Ppp1r1a
222,1,1,Trappc8
223,1,0,Coro1c
224,1,1,Ctdspl
225,1,0,3110082I17Rik
226,2,0,Supt3
227,1,0,Tecr
228,1,1,Ube4b
229,1,1,Zswim6
230,1,0,Rpl24
231,1,1,Ano6
232,1,1,Armc8
233,1,0,Rpl30
234,2,1,Hipk2
235,1,0,Chrna7
236,1,0,Sf1
