,DEG,pred
Meg3,0,0
Tsix,2,2
Gpc5,0,0
Ube3a,2,2
Cdk9,0,0
Lmo4,0,0
Snrnp70,0,0
Camk2a,0,0
Mapt,0,0
Grin1,0,0
Slc17a7,0,0
Nrg3os,2,2
Sorbs2os,2,2
Cacna1a,0,0
Celf4,0,0
Camkv,0,0
Gpc6,0,2
Syt7,0,0
Sptbn4,0,0
Pabpn1,0,0
Rnf112,0,0
Pde2a,0,0
AY036118,2,2
C1ql3,0,1
Kcnh3,0,0
Olfm1,0,0
Pacsin1,0,0
Dgkz,0,0
Chst1,0,0
Banf2,0,0
Dlg4,0,0
Rbfox3,0,0
Abr,0,0
Ptprs,0,0
Csmd2,0,2
Srcin1,0,0
Cpt1c,0,0
Celf5,0,0
Atp1a1,0,1
Mgat4c,0,0
Camk2b,0,0
Camkk2,0,0
Jph4,0,0
Thra,0,0
Cdh13,0,0
Grik5,0,0
Fgfr2,2,2
Baiap2,0,0
5330438D12Rik,2,2
Nrxn2,0,0
Syt17,0,0
Grin2b,1,2
Unc13a,0,0
Tmem132a,0,0
Gm15738,2,2
Ptprn,0,0
Stx1a,0,0
Ctnna3,2,2
Elavl3,0,0
Sez6l,0,0
Prkcg,0,0
Gpi1,0,0
Ptms,0,0
Kalrn,0,0
Srrm3,0,0
Matn2,0,0
Ccnd2,0,0
Lztr1,0,0
Akap8l,0,0
Miat,0,0
Nwd2,0,0
Tom1l2,0,0
Lmtk3,0,0
Matk,0,0
Dnm1,0,0
Far1os,2,2
Celf3,0,0
Rplp1,0,1
Rbfox1,1,2
Ank3,1,1
Camk2n1,0,0
Rasal1,0,0
Pitpnm2,0,0
Rundc3a,0,0
Nav2,0,2
Kcnh4,0,0
Shank1,0,0
Scn8a,0,0
Rasgef1a,0,0
Syt11,0,0
Actn1,0,0
Slc8a2,0,0
Gabrd,0,0
Nkain3,0,0
Grm1,2,2
Dnmt3a,0,0
Sptan1,0,0
Otof,0,1
Arf3,0,0
Cux2,0,0
Lmo7,0,1
Vwa3a,0,1
Syp,0,0
Slc30a3,0,0
Smarca2,0,0
Pcsk2,1,2
Gas7,0,0
Gm1043,0,0
Tyro3,0,0
Nova2,0,0
Slit3,1,2
Gdi1,0,0
Cnot3,0,0
Grip1,0,0
Pdzrn4,0,0
Gnb2,0,0
9530059O14Rik,0,0
Itpka,0,0
Agbl4,2,2
Sv2a,0,0
Nav1,0,0
Arglu1,2,2
Slc12a5,0,0
Usp7,0,0
Tmem63b,0,0
Gm28376,2,2
Atp2b4,0,0
Coro1a,0,0
Cul9,0,0
Zfp462,0,0
Ltbp4,0,0
Mark2,0,0
Ttc14,0,1
Icam5,0,0
Tmem132b,0,0
Stxbp1,0,0
Ryr1,0,0
Syngap1,0,0
Ndrg4,0,0
Nisch,0,0
Speg,0,0
Gm10754,2,2
Xist,1,2
Ptk2b,0,0
Sdk1,0,0
4930419G24Rik,2,2
Vwa5b2,0,0
Rapgefl1,0,0
Exd2,0,1
Nlgn2,0,0
Dapk1,0,1
Dctn1,0,0
Nr2f1,0,0
Med24,0,0
Tmem259,0,0
Zfp280d,1,1
Atp2b3,0,0
Edil3,2,2
Kifc2,0,0
Ankrd13d,0,0
Psap,0,1
Srek1,1,1
Rilpl1,0,0
Vwc2l,0,0
Dmtn,0,0
Faf1,1,2
Ttyh1,0,0
Trerf1,0,0
Gpatch8,1,1
Calm1,0,0
Ablim2,0,0
