2mo,9mo,18mo,gene_name,distance
0.71,1.0,1.0,RP23-177A20.1,3970
1.0,0.85,0.74,Sntg1,340640
0.48,0.79,0.53,1700034P13Rik,23219
0.31,0.68,0.46,Sgk3,12946
0.52,0.71,0.45,Prex2,31462
0.67,0.54,0.77,A830018L16Rik,160671
0.47,0.86,0.68,A830018L16Rik,23557
0.22,0.42,0.18,Sulf1,7364
0.57,0.76,0.54,Slco5a1,10079
0.32,0.61,0.33,Slco5a1,52017
0.94,0.65,0.88,RP23-125I14.1,223
0.94,0.65,0.88,Ncoa2,17576
0.33,0.11,0.42,Eya1,37525
0.11,0.25,0.41,Kcnb2,6632
0.37,0.45,0.19,Kcnb2,186799
0.63,0.84,0.64,Kcnb2,81182
0.52,0.89,0.71,4930486I03Rik,18634
0.52,0.89,0.71,Pkhd1,246978
0.5,0.96,0.95,Rims1,28020
0.2,0.55,0.41,Col9a1,11626
0.49,0.8,0.63,Col19a1,31076
0.31,0.61,0.31,Gm28439,1778
0.31,0.61,0.31,Gm10222,2068
0.31,0.61,0.31,Gm28438,1857
0.31,0.61,0.31,Gm28437,1443
0.31,0.61,0.31,Gm10925,658
0.59,0.26,0.58,Bai3,355218
0.68,0.9,0.92,Bai3,260965
0.17,0.69,0.46,Gm18443,352
0.51,0.81,0.5,Khdrbs2,237053
0.51,0.79,0.61,Gm7933,1842
0.59,0.7,0.45,Dst,200823
0.59,0.7,0.45,AC123072.1,200776
0.38,0.6,0.32,RP24-422C24.2,2983
0.38,0.6,0.32,Dst,72824
0.38,0.6,0.32,AC123072.1,71755
0.24,0.51,0.44,4930568A12Rik,224
0.24,0.51,0.44,Ptpn18,2342
0.31,0.32,0.11,RP24-70I14.4,2157
0.32,0.49,0.22,Uggt1,26144
0.02,0.2,0.3,Kansl3,1899
0.69,0.49,0.51,Cnnm3,5365
0.12,0.3,0.07,ANKRD23,491
0.12,0.3,0.07,Ankrd39,5431
0.62,0.74,0.86,Tmem131,55338
0.51,0.29,0.3,Cnga3,14806
0.62,0.89,0.64,Cnga3,21464
0.66,0.86,0.59,Cnga3,12106
0.37,0.68,0.49,Inpp4a,14507
0.76,0.87,0.57,Inpp4a,32544
0.39,0.62,0.35,2010300C02Rik,29102
0.38,0.71,0.62,2010300C02Rik,50834
0.92,0.7,0.88,Gm23409,1856
0.7,0.44,0.77,Eif5b,17182
0.14,0.38,0.11,RP23-195A24.5,13862
0.88,1.0,0.74,Aff3,74552
0.37,0.72,0.52,Aff3,129275
0.66,0.88,0.65,Aff3,142874
0.64,0.95,0.71,Aff3,177650
0.13,0.47,0.2,Aff3,192860
0.52,0.77,0.44,Aff3,163734
0.55,0.82,0.64,Aff3,81411
0.52,0.64,0.39,Aff3,65376
0.27,0.68,0.48,Aff3,59811
0.59,0.8,0.57,RP23-101P2.3,890
0.59,0.8,0.57,Chst10,16517
0.91,0.71,0.92,Npas2,80144
0.33,0.11,0.38,Tbc1d8,34815
0.17,0.54,0.35,Rfx8,3540
0.51,0.79,0.8,Il1r1,5221
0.8,1.0,0.92,Slc9a4,24815
0.04,0.27,0.09,Nck2,21831
0.27,0.59,0.28,1500015O10Rik,5738
0.91,0.67,0.88,Gm8241,19
0.91,0.67,0.88,Gm26352,162
0.2,0.58,0.1,Dnah7b,24871
0.12,0.25,0.04,Gm8354,2676
0.33,0.28,0.1,Tmeff2,82852
0.39,0.74,0.48,Myo1b,13754
0.33,0.25,0.11,Gm553,3838
0.02,0.22,0.1,Mfsd6,9131
0.21,0.31,0.06,Inpp1,15080
0.0,0.18,0.27,Hecw2,120433
0.51,0.79,0.5,Ankrd44,17670
0.14,0.45,0.3,Sf3b1,13873
0.72,0.66,0.37,Boll,2708
0.59,0.8,0.52,Plcl1,32032
0.54,0.82,0.61,Plcl1,71287
0.33,0.64,0.51,Plcl1,137496
0.3,0.61,0.3,Satb2,42883
0.25,0.48,0.23,9130024F11Rik,7866
0.44,0.7,0.45,Spats2l,10545
0.75,0.46,0.51,Spats2l,85779
0.62,0.36,0.37,Spats2l,65362
0.42,0.3,0.21,Gm15759,27526
0.42,0.3,0.21,Aox2,13804
0.62,0.41,0.28,Cflar,17983
0.25,0.58,0.46,Als2,11149
1.0,0.78,0.84,Ica1l,20197
0.06,0.24,0.35,Nbeal1,26222
0.21,0.6,0.32,Gm11575,554
0.21,0.6,0.32,Raph1,41101
0.11,0.47,0.45,Pard3b,7645
0.02,0.17,0.28,RP23-434D24.3,2105
0.25,0.0,0.02,Zdbf2,7092
0.0,0.19,0.2,Adam23,25819
0.44,0.52,0.23,Mdh1b,216
0.19,0.49,0.31,Gm29152,1859
0.33,0.45,0.13,Unc80,53304
0.4,0.79,0.55,Gm27934,1176
0.4,0.79,0.55,Acadl,7750
0.63,0.85,0.54,Cps1,51997
0.78,0.79,0.58,Gm15668,10577
0.78,0.79,0.58,Gm26342,1575
0.0,0.24,0.08,Erbb4,76356
0.66,0.93,0.75,Erbb4,145106
0.86,0.93,0.72,Erbb4,520653
0.36,0.71,0.71,Erbb4,484789
0.66,0.94,0.91,Spag16,278800
0.23,0.49,0.27,Gm8870,1010
0.22,0.5,0.45,Tns1,89207
0.71,0.52,0.43,Cxcr2,849
0.6,0.79,0.47,Dnajb2,5071
0.15,0.36,0.12,Des,2564
0.11,0.25,0.05,Gm816,1185
0.22,0.53,0.27,Epha4,14679
0.08,0.41,0.15,Epha4,39506
0.48,0.47,0.23,Epha4,60183
0.44,0.67,0.41,Epha4,73902
0.44,0.15,0.37,Pax3,6248
0.65,0.85,0.67,Serpine2,12427
0.21,0.07,0.0,Dock10,4913
0.18,0.54,0.39,RP23-430H22.1,2271
0.18,0.54,0.39,Rhbdd1,40326
0.41,0.23,0.15,Rhbdd1,44736
0.45,0.72,0.51,Col4a4,34162
0.23,0.48,0.31,Pid1,111485
0.51,0.73,0.45,Dner,136350
0.81,0.95,0.69,Dner,67232
0.48,0.72,0.39,4933407L21Rik,66
0.48,0.72,0.39,Gpr55,6240
0.04,0.29,0.15,Efhd1,13834
0.62,0.32,0.33,Ngef,17795
0.0,0.35,0.05,Dgkd,36045
0.82,0.62,0.5,Dgkd,15572
0.17,0.41,0.44,Gm29337,1116
0.29,0.18,0.08,Agap1,26492
0.37,0.54,0.65,Agap1,65198
0.39,0.65,0.46,Agap1,98565
0.86,0.57,0.69,Iqca,31551
0.77,0.97,0.89,Mlph,18432
0.63,0.88,0.6,Rbm44,7833
0.6,0.26,0.5,Ramp1,2974
0.83,0.57,0.48,Klhl30,7320
0.49,0.66,0.36,Hdac4,121309
0.78,0.93,0.68,Hdac4,71958
0.43,0.68,0.4,Gm29099,2265
0.27,0.62,0.4,Olfr12,1584
0.3,0.41,0.15,Myeov2,1032
0.23,0.49,0.27,Myeov2,3980
0.3,0.6,0.45,Myeov2,4146
0.06,0.34,0.12,Otos,2628
0.91,0.65,0.76,2310007B03Rik,3936
0.09,0.27,0.33,Sned1,13039
0.72,0.94,0.84,Ppp1r7,7652
0.67,0.76,1.0,Gm7135,48784
0.32,0.56,0.26,Gm7135,21317
0.31,0.55,0.32,Pam,55542
0.12,0.34,0.19,Pam,138111
0.64,0.79,0.89,Gm3116,15999
0.53,0.83,0.62,Gm28403,64388
0.02,0.24,0.13,Gm26214,1120
0.25,0.47,0.2,Zcchc2,5321
0.57,0.27,0.35,Phlpp1,43426
0.3,0.09,0.08,Phlpp1,69
0.37,0.63,0.52,Dsel,4788
0.71,0.8,0.59,9330185C12Rik,33420
0.13,0.4,0.2,9330185C12Rik,2501
0.73,0.83,0.54,Gm7195,9130
0.83,0.65,0.5,Clasp1,103678
0.4,0.73,0.53,Clasp1,12497
0.52,0.27,0.25,Gli2,78648
0.16,0.42,0.23,Gli2,32780
0.79,0.39,0.57,Dbi,4495
0.97,0.95,0.74,Dpp10,47571
0.63,0.79,0.56,Mgat5,19710
0.2,0.62,0.36,Mgat5,92028
0.66,0.89,0.73,Mgat5,53031
0.7,0.96,0.93,RP23-50E17.2,691
0.7,0.96,0.93,Thsd7b,98311
0.31,0.6,0.66,Yod1,1893
0.31,0.6,0.66,Pfkfb2,6788
0.94,0.85,0.74,Il24,2766
0.86,0.8,0.58,Mapkapk2,5123
0.62,0.87,0.72,Slc26a9,12698
0.17,0.34,0.12,Nucks1,3342
0.56,0.78,0.55,Cdk18,14532
0.48,0.25,0.24,Tmcc2,589
0.29,0.49,0.39,Cntn2,16585
0.29,0.57,0.38,Nfasc,35175
0.36,0.55,0.29,Nfasc,82233
0.43,0.83,0.79,Pik3c2b,24984
0.43,0.83,0.79,Gm28609,1754
0.55,0.84,0.88,Gm19461,6331
0.55,0.84,0.88,Plekha6,50706
0.98,0.78,0.8,Plekha6,24911
0.45,0.77,0.39,Sox13,14164
0.81,0.59,0.55,Gm26706,997
0.58,0.84,0.6,Lax1,2105
0.83,0.93,0.54,RP23-18J18.3,153
0.28,0.59,0.4,Optc,2247
0.28,0.59,0.4,Gm15851,3221
0.53,0.25,0.29,RP23-393C3.4,2360
0.38,0.38,0.15,Mybph,3796
0.38,0.38,0.15,Adora1,2213
0.48,0.78,0.65,Ppfia4,4577
0.24,0.44,0.2,Syt2,53861
0.26,0.29,0.09,Syt2,39128
0.68,0.45,0.32,Syt2,181
0.68,0.45,0.32,Ppp1r12b,11754
0.96,0.84,0.75,Lgr6,55748
0.22,0.57,0.46,Lgr6,21114
0.81,0.52,0.69,Ipo9,6828
0.46,0.19,0.19,Ipo9,7126
0.07,0.32,0.27,RP23-2M16.4,779
0.07,0.32,0.27,Nav1,46591
0.59,0.75,0.48,Nav1,52352
0.39,0.18,0.06,Nav1,59826
0.14,0.28,0.03,Nav1,9223
0.19,0.53,0.43,RP23-211F21.1,3289
0.19,0.53,0.43,Cacna1s,3956
0.68,0.44,0.4,Gm15850,2839
0.62,0.78,0.82,RP23-211F21.4,1870
0.48,0.82,0.61,RP23-211F21.4,1676
0.32,0.23,0.08,Camsap2,15930
0.14,0.28,0.04,Camsap2,13148
0.27,0.06,0.05,Gm19705,7439
0.18,0.58,0.45,Gm4258,8989
0.82,0.93,0.67,Gm4258,19677
0.82,0.93,0.67,Gm26979,582
0.72,0.81,0.59,RP23-393I12.3,223
0.72,0.81,0.59,Gm4258,26016
0.72,0.81,0.59,Gm26979,701
0.26,0.41,0.14,Ptprc,3083
0.88,0.75,0.62,Kcnt2,37501
0.44,0.89,0.66,Kcnt2,131927
0.41,0.62,0.44,Kcnt2,123041
0.82,0.7,0.96,Rgs1,5161
0.2,0.43,0.19,BC003331,10619
0.24,0.65,0.45,Tpr,16247
0.46,0.73,0.33,Gm22756,317
0.29,0.57,0.29,RP24-245K18.2,2382
0.1,0.12,0.33,1700025G04Rik,41293
0.12,0.45,0.31,1700025G04Rik,61683
0.4,0.64,0.35,1700025G04Rik,44969
0.66,0.35,0.46,Colgalt2,36239
0.28,0.65,0.36,Colgalt2,131
0.79,0.54,0.67,Rgl1,41606
0.58,0.7,0.43,Rgl1,58893
0.39,0.65,0.38,Gm15479,804
0.39,0.65,0.38,Rgl1,85521
0.25,0.57,0.48,Nmnat2,68643
0.28,0.71,0.61,Lamc2,12185
0.16,0.41,0.36,Lamc2,15816
0.5,0.6,0.34,Lamc1,8939
0.47,0.26,0.22,Rgs8,18180
0.69,0.44,0.29,Gm29529,1468
0.69,0.44,0.29,Rgs8,12464
0.82,0.52,0.48,Rgs16,3309
0.82,0.52,0.48,Gm28513,106
0.44,0.3,0.58,Rgsl1,25549
0.68,0.6,0.41,Teddm2,26559
0.68,0.6,0.41,Teddm1b,1756
0.16,0.44,0.23,Cacna1e,84878
0.19,0.39,0.09,Cacna1e,131338
0.62,0.84,0.54,Cacna1e,87036
0.71,0.92,0.85,Gm29282,19326
0.71,0.86,0.95,Lhx4,8400
