cell_type,gene,DEG,pred,atac
CA1-ProS_Glut,9930021J03Rik,0,1,1.0
CA1-ProS_Glut,Extl3,0,1,1.0
CA1-ProS_Glut,Pnn,0,-1,1.0
CA1-ProS_Glut,Csnk1d,0,1,1.0
CA1-ProS_Glut,Itgav,0,1,1.0
CA1-ProS_Glut,Chgb,0,0,1.0
CA1-ProS_Glut,Eif3b,0,1,1.0
CA1-ProS_Glut,Zfyve27,0,0,1.0
CA1-ProS_Glut,Gm26549,0,0,1.0
CA1-ProS_Glut,Fbxw2,0,1,1.0
CA1-ProS_Glut,Ocln,0,-1,1.0
CA1-ProS_Glut,Bag4,0,1,1.0
CA1-ProS_Glut,Dlg3,0,1,1.0
CA1-ProS_Glut,Ndor1,0,0,1.0
CA1-ProS_Glut,Tagln3,0,-1,1.0
CA1-ProS_Glut,Gm2115,0,0,1.0
CA1-ProS_Glut,Hsdl2,0,0,1.0
CA1-ProS_Glut,Zfp329,0,1,1.0
CA1-ProS_Glut,2810455O05Rik,0,-1,1.0
CA1-ProS_Glut,Wsb2,0,0,1.0
CA1-ProS_Glut,D430019H16Rik,0,0,1.0
CA1-ProS_Glut,Romo1,0,-1,1.0
CA1-ProS_Glut,Cblb,0,1,1.0
CA1-ProS_Glut,Mrpl55,0,0,1.0
CA1-ProS_Glut,Nol10,0,-1,1.0
CA1-ProS_Glut,Mcmbp,0,1,1.0
CA1-ProS_Glut,Sat2,0,0,1.0
CA1-ProS_Glut,Naaa,0,0,1.0
CA1-ProS_Glut,Zfp28,0,1,1.0
CA1-ProS_Glut,Mettl7a1,0,0,1.0
CA1-ProS_Glut,Gm16008,0,0,1.0
CA1-ProS_Glut,Aasdhppt,0,0,1.0
CA1-ProS_Glut,Utp18,0,0,1.0
CA1-ProS_Glut,Hcn3,0,-1,1.0
CA1-ProS_Glut,Cd3eap,0,0,1.0
CA1-ProS_Glut,Gm16183,0,-1,1.0
CA1-ProS_Glut,Fezf2,0,-1,1.0
CA1-ProS_Glut,Tubgcp3,0,1,1.0
CA1-ProS_Glut,Dnah2,0,1,1.0
CA1-ProS_Glut,Adck5,0,1,1.0
CA1-ProS_Glut,Gm13832,0,0,1.0
CA1-ProS_Glut,Rwdd3,0,-1,1.0
CA1-ProS_Glut,Nup88,0,0,1.0
CA1-ProS_Glut,Camk2b,0,1,1.0
CA1-ProS_Glut,Mospd2,0,1,1.0
CA1-ProS_Glut,Sfpq,0,0,1.0
CA1-ProS_Glut,Cpsf1,0,0,1.0
CA1-ProS_Glut,Elk4,0,0,1.0
CA1-ProS_Glut,Mtmr14,0,1,1.0
CA1-ProS_Glut,Pptc7,0,1,1.0
CA1-ProS_Glut,AW209491,0,0,1.0
CA1-ProS_Glut,Armc10,0,0,1.0
CA1-ProS_Glut,Gng12,0,1,1.0
CA1-ProS_Glut,Gm26542,0,0,1.0
CA1-ProS_Glut,Naa35,0,1,1.0
CA1-ProS_Glut,Rhoq,0,1,1.0
CA1-ProS_Glut,Ccnd2,0,1,1.0
CA1-ProS_Glut,Hectd3,0,0,1.0
CA1-ProS_Glut,Me1,0,-1,1.0
CA1-ProS_Glut,Gmpr2,0,-1,1.0
