chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr4,144455014,144455515,6.832114889667976,chr4,144451009,144455317,ENSMUSG00000095213.1,-,Gm9944,protein_coding,0.0877474974787239,4.2183856919215,10.2771351793709
chr4,144455014,144455515,6.832114889667976,chr4,144451771,144465756,ENSMUSG00000078507.1,-,Aadacl3,protein_coding,0.0877474974787239,4.2183856919215,10.2771351793709
chr4,144465321,144465822,6.667610450470392,chr4,144451771,144465756,ENSMUSG00000078507.1,-,Aadacl3,protein_coding,0.056917295661875,2.31597645830984,6.03107563371803
chr7,15749286,15749787,6.467640161522366,chr7,15748131,15761800,ENSMUSG00000074366.5,+,Obox5,protein_coding,0.104348375380104,4.89137235756673,9.45298945360464
chr17,13546492,13546993,1.1727265416124582,chr17,13480553,13763825,ENSMUSG00000038347.10,-,Tcte2,protein_coding,12.455401534007,18.9188206789207,28.1159023403114
chr13,3358606,3359107,2.241152080825187,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,1.4490194853919,4.30861854094656,6.86661507919533
chr13,3361068,3361569,1.914896465708073,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,2.11305460144711,4.64699172479053,7.98319961087865
chr12,113424839,113425340,2.8426755984750107,chr12,113422645,113426722,ENSMUSG00000092683.1,-,Gm25747,miRNA,0.867988758843593,3.92512893259006,6.24755630822805
chr12,113424839,113425340,2.8426755984750107,chr12,113422749,113426818,ENSMUSG00000092737.1,-,Gm24022,miRNA,0.867988758843593,3.92512893259006,6.24755630822805
chr12,113424839,113425340,2.8426755984750107,chr12,113423150,113427227,ENSMUSG00000092748.1,-,Gm22175,miRNA,0.867988758843593,3.92512893259006,6.24755630822805
chr7,61877703,61878204,0.7908063238681107,chr7,61875770,61879864,ENSMUSG00000065568.1,-,Mir344,miRNA,13.9091641273707,20.9791373983262,24.0939192823093
chr3,126596683,126597184,1.122210037457565,chr3,126594302,126846913,ENSMUSG00000053819.12,+,Camk2d,protein_coding,6.57394764894656,10.9369732422457,14.3295014899358
chr7,61837259,61837760,0.7740558848825144,chr7,61835311,61839402,ENSMUSG00000077107.1,-,Mir344c,miRNA,13.1289228660058,18.2984698418734,22.4798089899099
chr13,3360563,3361064,1.7869402487801165,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,1.68380332999713,3.58299604670338,5.8221907723487
chr9,74849203,74849704,1.1905077409600682,chr9,74845983,74862134,ENSMUSG00000066477.9,+,Gm16551,processed_transcript,3.99132535828898,7.34645779145688,9.12257158198407
chr9,74849203,74849704,1.1905077409600682,chr9,74846463,74893476,ENSMUSG00000093662.2,+,Gm20649,lincRNA,3.99132535828898,7.34645779145688,9.12257158198407
chr13,40722659,40723160,0.912889823599838,chr13,40713675,40735823,ENSMUSG00000021359.11,-,Tfap2a,protein_coding,7.14549215955122,9.80530292738973,13.4711746050364
chr17,13547036,13547537,1.2345846769080462,chr17,13480553,13763825,ENSMUSG00000038347.10,-,Tcte2,protein_coding,3.04744687189622,5.13575299034293,7.1818413245345
chr3,126596022,126596523,1.040051978993922,chr3,126594302,126846913,ENSMUSG00000053819.12,+,Camk2d,protein_coding,4.67196135224557,7.87281607743639,9.6200973427001
chr12,113424082,113424583,3.0077589417675608,chr12,113416558,113424730,ENSMUSG00000076617.5,-,Ighm,IG_C_gene,0.410278839562682,2.32349586239527,3.31937034248713
chr12,113424082,113424583,3.0077589417675608,chr12,113422645,113426722,ENSMUSG00000092683.1,-,Gm25747,miRNA,0.410278839562682,2.32349586239527,3.31937034248713
chr12,113424082,113424583,3.0077589417675608,chr12,113422749,113426818,ENSMUSG00000092737.1,-,Gm24022,miRNA,0.410278839562682,2.32349586239527,3.31937034248713
chr12,113424082,113424583,3.0077589417675608,chr12,113423150,113427227,ENSMUSG00000092748.1,-,Gm22175,miRNA,0.410278839562682,2.32349586239527,3.31937034248713
chr4,144297822,144298323,5.097714861872084,chr4,144294692,144300137,ENSMUSG00000095960.1,+,Gm13120,processed_pseudogene,0.16845548801317425,0.7974398173912318,4.827153803821571
chr13,3359246,3359747,2.069464231377508,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,0.780241261364869,1.88737042544082,3.28518918335396
