,preds,labels,genes
0,1,2,Xist
1,2,0,Grin2a
2,2,1,Il1rapl1
3,2,0,Negr1
4,2,0,Maml2
5,2,0,Dok6
6,2,2,Grm8
7,2,0,Cmss1
8,2,1,Lrp1b
9,1,0,Kcnj6
10,2,0,Chst9
11,0,0,2010300C02Rik
12,2,0,Sorcs2
13,1,0,Epha7
14,2,0,Adamts17
15,2,0,Slc44a5
16,2,0,Rasgrf2
17,2,0,Rtn1
18,1,0,Prox1
19,1,1,Ccdc85a
20,1,0,Trpc4
21,1,0,Gm20642
22,1,0,Syt14
23,2,2,Dpp10
24,1,0,D10Wsu102e
25,1,0,Map3k4
26,1,1,Kif1b
27,1,0,Itm2b
28,2,0,Galnt18
29,2,2,Lrrc4c
30,0,0,Tmem131
31,2,0,A830018L16Rik
32,1,0,Napepld
33,1,0,Arhgef4
34,0,0,Rpl19
35,0,0,Cdh11
36,2,1,Pkp4
37,2,1,Cacnb2
38,2,1,Clasp2
39,1,0,Hspa8
40,0,0,Abi1
41,1,0,Tmtc1
42,1,0,Nr3c2
43,2,0,Btbd3
44,0,0,Gm15594
45,1,0,Sparcl1
46,2,2,Car10
47,1,0,Lyst
48,2,1,Dpp6
49,1,0,Itm2c
50,2,1,Dst
51,1,0,Prmt8
52,1,1,Prickle1
53,1,1,Pnisr
54,2,1,Mbd5
55,0,0,Gapdh
56,2,1,Sipa1l1
57,1,1,Ube2b
58,1,1,Usp34
59,2,1,Nbea
60,1,1,Hnrnpu
61,1,1,Srrm2
62,2,2,Flnb
63,1,1,St7
64,0,0,Gm17167
65,1,1,Adcy9
66,2,2,Dgkb
67,0,0,Ppp2r2c
68,2,2,Grid2
69,2,0,Gse1
70,2,2,Agbl4
71,1,0,Adcyap1r1
72,2,1,Rgs7
73,2,1,Ssbp2
74,1,0,Caly
75,0,0,Rps5
76,0,0,Ppia
77,1,0,Zdhhc23
78,2,1,Frmd4b
79,0,0,Tubb2a
80,2,0,1700025G04Rik
81,1,2,Akap8l
82,1,1,Ncor1
83,2,1,Cntnap5b
84,1,0,Scn3b
85,2,2,Trps1
86,2,1,Mctp1
87,2,1,Slc4a10
88,1,0,Atp2a2
89,2,1,Rit2
90,1,1,Ptprs
91,1,0,Gng2
92,1,0,Fam171b
93,2,1,E130307A14Rik
94,2,1,Pclo
95,2,1,Ambra1
96,2,1,Macrod2
97,1,2,Ankrd12
98,1,0,Lrp12
99,1,1,Usp32
100,1,0,Gda
101,1,1,Rbm26
102,2,1,Sbf2
103,1,0,Gm12296
104,2,2,Asap1
105,2,1,Dclk1
106,1,0,Ppp1r16b
107,1,0,Kcnc3
108,0,0,Rpl23a
109,2,1,Igf1r
110,2,1,Baz2b
111,1,0,A230004M16Rik
112,1,0,F730043M19Rik
113,0,0,Cox7c
114,1,1,Esyt2
115,2,1,Hivep3
116,1,0,Fyco1
117,2,0,Mcf2l
118,1,1,Dapk1
119,1,1,Setd2
120,1,1,Gapvd1
121,1,1,Acvr1
122,2,1,Dync1i1
123,2,0,Slc35f1
124,1,0,Trpc5
125,1,1,Gucy1a2
126,2,1,Atf6
127,2,1,Slc24a4
128,2,0,9630028H03Rik
129,0,2,Ighm
130,1,0,Ubl3
131,1,0,Cyth3
132,1,1,Atxn2
133,2,2,Fmn1
134,1,1,Cdk13
135,2,0,Cenpp
136,1,0,Fat4
137,1,0,Rps24
138,2,1,Kat6b
139,1,0,Jph3
140,1,1,Cnnm1
141,1,1,Orc4
142,2,1,Ksr2
143,1,1,Gtf2i
144,2,0,Nckap5
145,1,0,Zfyve28
146,1,1,Pspc1
147,1,1,Nfat5
148,1,1,Ola1
149,2,1,Ano3
150,1,1,Ndrg3
151,1,1,Sorbs1
152,2,1,Chchd3
153,2,1,Focad
154,2,1,Nmnat2
155,1,0,Lrrn2
156,2,1,Dis3l2
157,1,1,Clasp1
158,1,0,Gng7
159,0,0,Mrpl41
160,1,1,Inpp4a
161,1,1,Lmo7
162,2,0,Fam110b
163,1,1,Aplp1
164,1,0,Zfp106
165,1,0,Atf7ip
166,1,0,Lamc1
167,2,0,Tiam2
168,0,0,Rasl10a
169,1,0,Pgrmc1
170,1,1,Plxna2
171,2,1,Ralgapa2
172,1,1,Pcmtd1
173,1,0,Coro2b
174,2,1,Ext1
175,0,0,Rpl27a
176,1,0,Pcdh1
177,2,1,Myt1l
178,1,1,Jakmip2
179,2,0,Pard3b
180,1,1,Agtpbp1
