,preds,labels,genes
0,2,0,Rbfox1
1,0,2,Grin1
2,2,0,Slc4a4
3,2,1,Nrg3
4,2,0,Dscam
5,2,1,Kcnd2
6,2,0,Prkce
7,2,2,Dmd
8,0,1,Grin2b
9,2,0,Ptchd4
10,2,0,Sema5a
11,2,0,Tiam1
12,0,0,Kcnj3
13,2,0,Pigk
14,0,0,Rplp1
15,0,2,Snrnp70
16,2,0,Kirrel3
17,0,2,Rbm25
18,2,0,Glis3
19,0,0,Ubb
20,0,0,Jph1
21,2,0,Pdzd2
22,0,0,Rps2
23,0,0,Chn1
24,1,2,4930402H24Rik
25,1,0,Rps14
26,0,1,Mmp16
27,2,2,Unc5c
28,2,1,Dlgap2
29,2,0,Ccbe1
30,1,0,Shisa9
31,2,0,Enox1
32,2,2,Celf4
33,1,0,Rras2
34,0,1,Ppm1e
35,2,0,Shisa6
36,2,1,Syne1
37,2,0,Cnih3
38,1,0,Add2
39,0,1,Pi4ka
40,0,0,Grb14
41,0,1,Nipbl
42,2,1,Cadm2
43,0,0,Actb
44,2,1,Fam155a
45,2,0,Sh3kbp1
46,0,1,Trank1
47,2,1,Adam22
48,1,0,Klf9
49,0,1,Braf
50,1,0,Klf13
51,2,1,Zcchc7
52,0,0,Kansl1l
53,0,1,Ttc14
54,1,1,Pacsin1
55,0,1,Nrg2
56,2,0,Slc16a7
57,0,1,Stxbp5
58,0,1,Arhgef9
59,2,0,Mcu
60,0,0,Rpl13a
61,1,0,Rpl11
62,0,0,Foxk1
63,1,1,Cpeb4
64,0,1,Kmt2e
65,0,0,Mkx
66,2,0,Grip1
67,2,1,Cacnb4
68,2,2,Map7
69,2,0,Atp2b2
70,2,0,Foxn3
71,0,1,Herc1
72,2,1,Cers6
73,0,1,Spag9
74,2,1,Bcas3
75,2,0,Myo5b
76,2,1,Akt3
77,2,1,Nfib
78,2,1,Phf14
79,0,0,Ntf3
80,1,0,Fam120a
81,0,0,Tbcel
82,1,1,Olfm1
83,0,1,Fut9
84,0,0,Tsga10
85,1,1,Phf20l1
86,0,0,Rps27a
87,0,1,Stim2
88,2,1,Dock3
89,0,1,Ccdc88a
90,0,0,Nptx1
91,1,1,Bsn
92,2,1,Agap1
93,1,0,Ptpra
94,0,1,Ank
95,2,1,Exoc4
96,0,0,Rps15
97,2,1,Samd12
98,2,0,Fgfr2
99,2,0,Lrfn2
100,1,1,Atp2c1
101,0,1,Ppp3cb
102,0,0,4921534H16Rik
103,2,1,Fbxl17
104,0,0,Clvs2
105,1,0,Ip6k2
106,0,0,Ski
107,2,1,Slc44a1
108,2,0,Trhde
109,1,0,Peli1
110,2,1,Grm7
111,2,1,Magi2
112,1,1,Ube3c
113,2,0,Slc39a11
114,1,1,Taok1
