,preds,labels,genes
0,2,2,Zfp804b
1,2,2,Nrxn3
2,2,0,Egfem1
3,2,0,Fgf14
4,0,0,Plxna4
5,0,0,Cacna1e
6,2,0,Nell2
7,2,1,Nlgn1
8,0,0,Cyp7b1
9,0,0,Gm28376
10,2,0,Ntrk3
11,0,0,AY036118
12,1,2,Mapt
13,2,2,Tmem132d
14,0,0,Plcl1
15,0,0,Hsp90ab1
16,1,0,Eef1a1
17,2,1,Celf2
18,2,0,Pard3
19,2,0,Grid1
20,2,0,Rgs6
21,2,0,Tnr
22,0,0,Zbtb16
23,2,2,Pcdh7
24,2,1,Nrxn1
25,0,0,Pcsk1n
26,0,0,Atp1a1
27,0,0,C1qtnf4
28,0,0,Rpl17
29,2,1,Trpm3
30,2,2,Cobl
31,0,0,Hectd2
32,2,1,Zfpm2
33,0,0,Rpl9
34,1,0,Npnt
35,0,0,Dpf3
36,0,0,Aagab
37,0,0,Spon1
38,0,0,Snca
39,1,0,Galnt11
40,0,0,Rpsa
41,0,0,Sorl1
42,0,0,Serinc1
43,0,0,Adcy1
44,2,1,Cacna1d
45,0,0,Sorbs2os
46,1,0,Kcng2
47,0,2,Fus
48,1,1,Tia1
49,1,1,Pafah1b1
50,1,0,Ppp1r13b
51,2,1,Grm1
52,1,0,AI593442
53,0,0,Nfix
54,0,1,Sfpq
55,0,1,Wdfy3
56,1,1,Ubn2
57,0,1,Hivep2
58,0,1,Stxbp5l
59,0,0,Arhgap20
60,0,0,Slc4a7
61,1,1,Gls
62,1,0,Bcl11b
63,2,0,Ppm1h
64,0,0,Slc35f3
65,0,1,Ftx
66,0,1,Tmcc1
67,0,1,Zmym4
68,0,1,Bptf
69,1,1,Arhgap39
70,0,0,Asxl3
71,1,1,Ndrg4
72,0,1,Zfand3
73,2,2,Pde4b
74,2,0,Ust
75,0,1,Zfp536
76,0,2,Cpeb1
77,0,2,Ablim2
78,0,0,Rnasek
79,0,0,1810013L24Rik
80,2,1,Kalrn
81,1,0,Psap
82,2,1,Nav2
83,0,1,Sltm
84,0,0,Kcnn3
85,0,1,Zfp148
86,0,1,Dnm1l
87,0,0,Gm28750
88,1,0,Prox1os
89,0,0,Rpl6
90,2,1,Galnt13
91,1,1,Rfx7
92,1,1,Rc3h2
93,0,1,Kmt2c
94,1,0,Herc3
95,2,0,Fbn2
96,0,0,Htr4
97,2,1,Otud7a
98,0,0,Tmem150c
99,0,1,Itsn2
100,2,1,Rgl1
101,0,1,Rabep1
102,1,0,Gm12339
103,0,0,Cnnm2
104,0,1,Pias2
105,0,0,Nrp2
106,0,0,Ttc39c
107,0,1,Acap2
108,1,0,Sh3bp5
109,0,1,Ogt
110,0,2,Rnf112
111,1,1,Pias1
112,0,1,Ttc7b
113,0,0,Pitpnm2
114,1,0,Zhx2
115,1,0,Slc39a6
116,0,0,Parp8
117,0,0,Rpl8
118,1,1,Scn3a
119,2,0,Mamld1
120,2,1,Nol4
121,1,0,Slc24a5
122,2,1,Prkca
123,0,1,Cpeb3
124,1,1,Osbpl8
125,2,1,Astn1
126,2,1,Dnmt3a
127,0,1,Fyn
128,0,2,Dennd5b
129,0,1,Srcap
130,1,0,Rab6b
131,0,1,Rasa1
132,0,1,Nrp1
133,1,0,Rph3a
134,2,1,Btbd9
135,0,0,Rps4x
136,2,0,Ulk4
137,0,0,Igsf11
138,1,0,Fam49a
139,0,0,Ccdc47
140,0,0,Gpr22
141,2,2,Tmem178b
142,2,1,Jazf1
143,0,0,Atxn7l3b
144,1,1,Rock1
145,0,1,Rptor
146,2,1,Foxp1
147,1,1,Kcnq2
148,1,0,Ttc19
149,0,1,Stx6
150,0,0,B3galt5
151,1,1,Cdc42se2
152,0,0,Rab3a
153,1,2,Itch
154,0,1,Vps13a
155,0,0,Kcnb1
156,2,1,Aff3
157,0,1,Csnk1g1
158,2,1,St18
159,0,1,Gpm6b
160,0,0,Vrk1
161,1,1,Miat
162,0,1,Hs2st1
163,1,1,Uri1
164,1,1,Myef2
165,0,0,Tsc22d2
166,0,1,Btaf1
167,1,0,Sdcbp
168,1,1,Tle1
169,1,1,Akap11
170,2,1,Reps2
171,2,0,Eps8
172,0,0,Slc25a25
173,2,1,Dcc
174,1,0,Slc6a15
175,0,0,Rps6
176,0,1,Tom1l2
177,0,1,Chd6
178,1,1,Ggnbp2
179,2,2,Msi2
180,0,0,Slitrk2
181,0,0,Bex2
182,0,1,Rasgef1a
183,1,1,BC005537
184,1,1,Arhgef2
185,0,0,Dock11
186,0,0,Strn
187,1,1,March7
188,0,1,Nin
189,0,1,Lrch1
190,0,0,Rbfox3
191,0,1,Nrcam
192,0,0,Ociad1
193,0,1,Mat2a
194,2,0,Rapgef5
195,0,0,Rpl32
196,1,0,Ablim3
197,0,0,Mrps9
198,2,1,Aff2
199,0,1,Prrc2b
200,1,0,Irs1
201,1,1,Kif5b
202,0,1,9530059O14Rik
203,1,1,Slc1a1
204,1,1,Dagla
205,1,0,Agap3
206,1,1,Slc39a14
207,1,0,Ctsb
208,2,1,Pak7
209,0,1,Glg1
210,2,2,9530026P05Rik
211,0,1,Jpx
212,2,0,Snx29
213,2,0,Arhgef3
214,1,1,Spred2
215,0,0,Cox5a
216,0,0,Eny2
217,0,1,Gtf3c2
218,1,1,Micu1
219,0,1,Aig1
220,1,1,Cpsf7
221,0,1,Slc8a2
222,0,1,Map2k1
223,0,0,Actg1
224,0,0,Morn1
225,0,1,Ercc6
226,1,0,Dsp
227,0,0,Abcg1
228,0,1,Taf1
229,1,0,Acvr1b
230,1,0,Gm6994
231,0,1,Ttc17
232,0,1,Zkscan3
233,0,1,Lrp6
234,0,0,Rpl12
235,2,1,Ddx10
236,1,0,Igsf8
237,0,1,Fndc3a
238,0,0,Calm3
239,0,0,Susd1
240,2,2,Tenm3
241,0,1,Dnajc5
242,2,1,Dnm3
243,0,0,Syt5
244,0,1,Chm
245,1,0,Plec
246,1,1,Dot1l
247,1,0,Tpst1
248,0,1,Ppp1cb
249,2,1,Rps6ka3
250,1,1,Gpr155
251,0,2,5330434G04Rik
252,0,0,Tmem106b
253,0,1,Cfap36
254,1,0,Hp1bp3
255,0,1,Zer1
256,0,1,Actr3b
257,0,1,Prdm5
258,0,1,Nrf1
259,0,0,Acsl3
260,0,0,Arf1
261,0,0,Ica1l
262,0,1,Kdm7a
263,0,0,Taco1
264,1,0,Bdnf
265,0,1,Akap9
266,1,0,Lman2l
267,0,1,Ptprz1
268,0,0,Src
269,0,1,Trp53bp1
270,0,1,Fnbp4
271,1,0,Siah1a
272,0,1,Cnot7
273,0,1,Ogdh
274,0,2,B830012L14Rik
275,0,0,Hnrnpa3
276,0,1,Tef
277,0,1,Srsf10
278,1,2,Prkcg
279,0,0,Rap2a
280,0,1,Rab40c
281,0,2,Gm28905
282,0,0,Rab11fip4
283,0,1,Dixdc1
284,1,0,Dcp1a
285,1,0,Socs5
286,0,0,Gnai1
287,1,1,Ralgapb
288,0,0,B3galt2
289,2,1,Phactr1
290,1,0,4930578M01Rik
291,0,0,Cebpd
292,1,1,Palm
293,1,0,Timp3
294,1,1,Bin1
295,1,0,Cbx5
296,2,1,Slc24a3
297,0,0,Spen
298,0,1,Tnpo3
299,0,1,Abhd2
300,1,0,Nsg1
301,2,0,Tacc2
302,0,0,Tcp11l1
303,0,0,Ptpn11
304,0,1,Fmr1
305,0,0,Jun
306,0,1,Fnbp1
307,0,1,Ankrd10
308,0,1,Trim44
309,0,0,Supt6
310,1,0,Casd1
311,0,0,Gm15478
312,0,1,B3gat1
313,0,1,Lrpprc
314,0,1,Polb
315,1,0,Lonrf3
316,0,1,Tbc1d12
317,1,0,Zfp846
318,1,1,Klhl3
319,2,0,Cdyl
320,0,1,Luc7l
321,2,0,Fhit
322,1,1,Nsun7
323,0,1,Copg2
324,1,0,Zbtb37
325,1,0,Egln1
326,0,0,Lrpap1
327,2,0,Ror1
328,1,0,Tmem38a
329,0,0,Lysmd4
330,1,2,Agap2
331,0,1,Luzp1
332,0,1,Ndufs4
333,1,0,5031439G07Rik
334,0,1,Zfand5
335,2,0,C530008M17Rik
336,1,1,Gnb1
337,0,1,Dicer1
338,0,0,Mdh2
339,1,0,Slc33a1
340,0,0,Ids
341,0,1,Btbd7
342,0,0,Slc4a8
343,0,0,4933411O13Rik
344,0,0,Arl5b
345,0,1,Epg5
346,0,0,Slc29a4
347,2,1,Zfp697
348,1,1,Exoc5
349,2,2,Cpa6
350,1,1,Lpin2
351,1,1,Ncbp1
352,1,1,Dhx57
353,0,0,Rpl35a
354,1,0,Pak2
355,1,0,Vapb
356,0,0,Plekha2
357,0,1,Pde3b
358,1,1,Ankrd13c
359,1,1,Kpna3
360,1,1,Scamp5
361,0,0,Usp31
362,0,1,Mta3
363,0,0,Ran
364,2,0,Rsu1
365,0,1,Timm9
366,0,0,Zfp182
367,0,1,Clip4
368,1,1,Fam13a
369,1,1,Csnk2a2
370,1,1,Spopl
371,0,0,Nap1l5
372,1,0,Brsk2
373,0,1,4632427E13Rik
374,0,1,1810026B05Rik
375,0,1,Shank1
376,1,1,Nisch
377,0,1,Sf3b2
378,0,1,Ndufv2
379,0,1,Smarcc2
380,0,0,Gtpbp8
381,0,0,Mrpl57
382,0,1,Epha5
383,1,0,Sept8
384,1,0,Slc7a8
385,0,1,Usp45
386,0,0,Eif4h
387,2,0,Larp1b
388,2,0,Fbn1
389,0,0,Crtac1
390,0,1,Ncoa3
391,0,1,Itpka
392,0,0,Ece1
393,1,0,9530052E02Rik
394,0,1,Ttll7
395,2,1,Rpgr
396,1,0,C1galt1
397,0,0,Gm15564
398,1,1,Ppp1r21
399,0,0,H2afj
400,0,0,Tuba4a
401,0,0,Cfl1
402,1,0,Cystm1
403,0,0,Acvr1c
404,0,1,Zfp451
405,1,1,Fbxo33
406,1,0,Tdp1
407,1,1,Lmbrd2
408,0,0,Rpl37a
409,1,1,Glud1
410,0,1,Sec22a
411,0,0,Lynx1
412,0,1,Dlat
413,1,0,Mllt11
414,1,1,Crmp1
415,0,1,Rragb
416,1,1,Cept1
417,1,1,Ctcf
418,0,0,Tubb5
419,1,0,Tppp
420,2,0,Arsj
421,0,0,G2e3
422,0,1,Osbpl11
423,0,0,Rhob
424,0,1,Hnrnpk
425,0,1,Dlgap3
426,1,0,Tubgcp2
427,1,1,Ccni
428,0,1,Auh
429,0,0,Mrpl33
430,1,1,Ptprn
431,0,1,Nmd3
432,0,1,Cx3cl1
433,0,0,Twf1
434,1,1,Ppip5k1
435,0,1,Exoc2
436,0,1,Lrrfip2
437,0,1,Ccser2
438,2,1,Zfp831
439,2,2,Skap2
440,1,0,Slc43a2
441,0,1,Gm10419
442,0,1,Ptpn9
443,0,1,Stx18
444,0,0,Naca
445,1,1,Cdc42bpb
446,1,0,Atp11a
447,0,1,Hdac1
448,0,0,Ghitm
449,2,1,Scg5
450,2,0,Net1
451,0,1,Cluap1
452,0,0,Krtcap2
453,0,0,Ssr3
454,0,1,Vgll4
455,0,0,Lzts1
456,0,1,Slc30a9
457,1,0,Laptm4a
458,0,0,Spata13
459,1,1,Hnrnpd
460,1,0,Mettl23
461,0,0,Hrk
462,0,0,Pgam1
463,0,0,Ccsap
464,0,1,Gpd2
465,0,1,Ap3b2
466,1,1,Arel1
467,1,1,Gpbp1l1
468,0,1,Rbm3
469,1,0,Ubxn2b
470,1,0,Kmt2d
471,1,1,Acbd5
472,0,1,Fbxw2
473,2,0,Mb21d2
474,0,0,Hs3st1
475,1,1,Sel1l
476,2,0,Akap13
477,2,1,Zfat
478,1,0,Atp6v1d
479,0,1,Katnbl1
480,1,0,Ocln
481,0,1,Pold3
482,0,1,Zfp652
483,0,0,Ctxn1
484,0,0,Ppp1r10
485,1,1,Ero1l
486,0,1,Mbip
487,0,0,Tmem29
488,0,1,Agfg2
489,1,0,Tm7sf3
490,0,1,Hnrnpdl
491,0,0,Usp13
492,0,1,Mtcl1
493,1,1,Kantr
494,1,1,Dhx40
495,0,1,Golga4
496,1,1,Ezh2
497,0,1,Gm12353
498,1,0,Trappc10
499,0,0,Dusp3
500,1,0,Nudcd1
501,1,0,Rnft1
502,1,1,Ywhaq
503,0,0,4930473A02Rik
504,2,0,Rassf8
505,1,1,Deaf1
506,2,1,Kif13b
507,1,1,Dnaja2
508,1,0,Reep5
509,1,1,Prpf6
510,2,1,March11
511,1,0,Rnf149
512,0,0,Zdhhc15
513,2,0,Tpd52
514,0,0,C2cd2
515,1,1,Rsbn1
516,0,0,Malsu1
517,0,0,Ncl
518,0,0,Mplkip
519,1,1,Rnf8
520,0,1,Hsp90b1
521,1,1,Nxpe3
522,1,1,Usp14
523,1,0,Vps4b
524,2,1,Galntl6
525,0,1,Fra10ac1
526,1,0,Tm2d1
527,0,0,Ap1m1
528,1,1,Rmdn1
529,0,1,Slc2a3
530,0,1,Mthfd1
531,0,0,5430405H02Rik
532,0,0,Ttpal
533,1,1,Gpatch2l
534,0,1,Ncapd3
535,1,0,Zkscan2
536,0,0,Pinx1
537,1,0,6430590A07Rik
538,0,0,Dynlrb1
539,2,0,Pag1
540,0,0,Rbbp7
541,2,0,Cables1
542,0,1,Pfkfb2
543,1,1,Brd8
544,1,1,Psmd1
545,1,1,Atp1b3
546,2,1,Tmcc3
547,1,0,C87436
548,1,1,Setd7
549,1,1,Mecr
550,1,1,Rnmt
551,1,1,Nfatc3
552,1,0,2610301B20Rik
553,1,1,Vps37a
554,0,1,Unc5a
555,0,1,Caap1
556,0,0,Psmb4
557,2,1,Peli2
558,0,0,Gm10785
559,1,0,Tm2d3
560,0,1,Slc12a2
561,0,0,Tmem39a
562,1,1,Spats2
563,1,0,Wdr78
564,2,1,Pde2a
565,1,1,Psmd11
566,0,0,Tmx1
567,0,1,Smarca1
